year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2001,1,1,1,8.819,5.2,-6.0,0.0,0.0,45.0,1.2,230,8.2,34.8135,127.9286,44.41
2001,1,2,2,8.3,8.3,1.5,0.0,4.7,42.6,4.2,270,7.4,34.8135,127.9286,44.41
2001,1,3,3,8.188,2.8,-1.9,0.0,0.5,44.9,3.0,290,7.2,34.8135,127.9286,44.41
2001,1,4,4,9.097,3.1,-5.3,0.0,-1.4,39.9,2.4,270,8.5,34.8135,127.9286,44.41
2001,1,5,5,8.58,4.3,-7.8,0.0,-2.3,40.9,1.0,230,7.7,34.8135,127.9286,44.41
2001,1,6,6,7.377,4.4,-5.1,0.0,0.3,42.0,1.8,250,5.9,34.8135,127.9286,44.41
2001,1,7,7,3.356,4.0,-1.2,25.0,2.0,76.9,2.0,340,0.0,34.8135,127.9286,44.41
2001,1,8,8,7.432,9.1,2.4,0.0,4.8,64.1,1.1,320,5.9,34.8135,127.9286,44.41
2001,1,9,9,3.387,6.0,2.1,6.0,3.8,64.1,2.1,270,0.0,34.8135,127.9286,44.41
2001,1,10,10,8.81,5.6,-2.7,0.0,0.4,44.1,1.8,250,7.8,34.8135,127.9286,44.41
2001,1,11,11,7.665,6.6,-2.1,0.0,2.4,41.9,2.6,290,6.1,34.8135,127.9286,44.41
2001,1,12,12,8.956,3.1,-4.7,0.0,-1.0,41.3,2.1,270,7.9,34.8135,127.9286,44.41
2001,1,13,13,5.563,2.1,-5.6,4.9,-2.8,57.5,2.1,290,3.0,34.8135,127.9286,44.41
2001,1,14,14,9.601,-2.3,-9.0,0.0,-5.7,47.0,3.1,320,8.7,34.8135,127.9286,44.41
2001,1,15,15,9.718,-2.9,-9.9,0.0,-6.6,45.9,2.8,270,8.8,34.8135,127.9286,44.41
2001,1,16,16,9.837,-0.8,-10.6,0.0,-6.0,49.4,1.9,290,8.9,34.8135,127.9286,44.41
2001,1,17,17,9.887,2.0,-9.8,0.0,-4.1,51.6,0.9,230,8.9,34.8135,127.9286,44.41
2001,1,18,18,9.939,7.8,-6.9,0.0,0.1,58.6,1.0,250,8.9,34.8135,127.9286,44.41
2001,1,19,19,4.168,5.4,-2.0,0.0,2.3,60.3,0.8,250,0.8,34.8135,127.9286,44.41
2001,1,20,20,4.701,8.2,0.0,12.5,2.8,75.8,1.1,270,1.5,34.8135,127.9286,44.41
2001,1,21,21,10.175,8.3,-2.5,0.0,2.4,56.3,1.1,230,9.0,34.8135,127.9286,44.41
2001,1,22,22,3.669,5.0,-0.5,0.0,1.8,53.1,1.2,270,0.0,34.8135,127.9286,44.41
2001,1,23,23,9.34,8.6,-3.1,0.0,2.2,39.6,1.1,230,7.7,34.8135,127.9286,44.41
2001,1,24,24,3.723,5.0,-1.7,0.0,2.3,54.6,1.4,340,0.0,34.8135,127.9286,44.41
2001,1,25,25,3.752,6.3,1.9,1.0,4.2,63.4,1.6,290,0.0,34.8135,127.9286,44.41
2001,1,26,26,3.78,7.4,2.5,0.0,4.6,56.6,2.4,360,0.0,34.8135,127.9286,44.41
2001,1,27,27,6.953,8.8,2.2,0.5,4.3,59.0,1.9,270,4.2,34.8135,127.9286,44.41
2001,1,28,28,5.57,6.4,-1.7,0.5,1.6,49.4,3.4,270,2.3,34.8135,127.9286,44.41
2001,1,29,29,9.014,5.6,-6.3,0.0,0.8,48.1,2.3,250,6.8,34.8135,127.9286,44.41
2001,1,30,30,9.606,7.4,-2.3,0.0,2.7,46.9,2.0,250,7.5,34.8135,127.9286,44.41
2001,1,31,31,4.623,4.8,-4.3,0.0,1.3,63.6,0.5,20,0.9,34.8135,127.9286,44.41
2001,2,1,32,8.144,7.2,-2.2,0.0,1.9,33.4,2.3,290,7.2,34.8135,127.9286,44.41
2001,2,2,33,9.451,5.6,-7.3,0.0,-1.2,34.5,1.2,230,9.1,34.8135,127.9286,44.41
2001,2,3,34,8.324,7.8,-5.5,0.0,1.6,48.3,0.9,230,7.4,34.8135,127.9286,44.41
2001,2,4,35,3.927,8.0,1.4,0.0,4.6,51.8,1.1,230,0.9,34.8135,127.9286,44.41
2001,2,5,36,9.739,12.6,0.4,0.0,6.1,49.8,0.7,250,9.4,34.8135,127.9286,44.41
2001,2,6,37,7.104,12.6,5.6,0.0,7.9,55.4,0.7,360,5.5,34.8135,127.9286,44.41
2001,2,7,38,6.786,10.3,-1.4,0.0,4.8,46.6,2.1,250,5.0,34.8135,127.9286,44.41
2001,2,8,39,9.772,5.0,-6.0,0.0,-0.8,33.9,1.8,290,9.3,34.8135,127.9286,44.41
2001,2,9,40,8.291,7.3,-6.4,0.0,1.0,46.0,1.4,270,7.1,34.8135,127.9286,44.41
2001,2,10,41,9.364,8.6,-2.2,0.0,2.1,47.0,1.3,230,8.6,34.8135,127.9286,44.41
2001,2,11,42,7.595,6.5,-4.0,0.0,1.9,48.1,0.8,250,6.0,34.8135,127.9286,44.41
2001,2,12,43,3.93,5.6,0.2,0.0,2.4,34.0,0.8,250,0.7,34.8135,127.9286,44.41
2001,2,13,44,8.716,8.5,-2.4,0.0,2.0,26.1,1.4,250,7.5,34.8135,127.9286,44.41
2001,2,14,45,9.883,5.6,-4.5,0.0,0.4,30.9,2.0,270,9.1,34.8135,127.9286,44.41
2001,2,15,46,7.952,9.1,-6.5,1.5,2.2,54.0,2.3,290,6.3,34.8135,127.9286,44.41
2001,2,16,47,10.405,4.5,-4.9,0.0,0.1,41.1,3.2,290,9.7,34.8135,127.9286,44.41
2001,2,17,48,10.244,6.8,-6.1,0.0,0.2,45.0,1.2,230,9.4,34.8135,127.9286,44.41
2001,2,18,49,6.503,13.3,2.0,0.0,6.0,51.4,1.4,270,4.1,34.8135,127.9286,44.41
2001,2,19,50,10.064,15.1,0.2,0.0,6.6,53.1,0.9,250,9.0,34.8135,127.9286,44.41
2001,2,20,51,10.119,14.3,0.6,0.0,7.3,60.4,1.1,250,9.0,34.8135,127.9286,44.41
2001,2,21,52,3.643,7.5,1.3,1.5,4.7,79.6,0.3,250,0.0,34.8135,127.9286,44.41
2001,2,22,53,10.671,16.8,-0.5,0.0,6.9,61.3,0.8,230,9.6,34.8135,127.9286,44.41
2001,2,23,54,3.696,7.0,2.2,29.5,5.7,77.8,1.1,340,0.0,34.8135,127.9286,44.41
2001,2,24,55,4.607,6.8,1.1,7.0,3.6,73.0,2.3,340,1.2,34.8135,127.9286,44.41
2001,2,25,56,11.305,7.5,-3.5,0.0,1.8,40.1,1.5,270,10.2,34.8135,127.9286,44.41
2001,2,26,57,8.619,8.0,-2.0,0.0,2.1,47.1,0.9,250,6.5,34.8135,127.9286,44.41
2001,2,27,58,3.885,14.1,-1.8,25.0,4.0,67.8,0.6,230,0.1,34.8135,127.9286,44.41
2001,2,28,59,7.978,14.6,7.8,25.0,10.7,68.9,1.8,70,5.5,34.8135,127.9286,44.41
2001,3,1,60,5.104,10.1,4.4,9.0,6.2,60.5,1.5,290,2.7,34.8135,127.9286,44.41
2001,3,2,61,8.233,12.8,0.6,0.0,6.9,61.0,1.3,250,7.3,34.8135,127.9286,44.41
2001,3,3,62,4.32,13.8,2.7,0.0,7.4,61.0,1.8,250,1.5,34.8135,127.9286,44.41
2001,3,4,63,7.736,3.5,-1.1,0.0,1.3,51.1,4.8,290,6.5,34.8135,127.9286,44.41
2001,3,5,64,9.739,10.1,-0.3,0.0,4.8,37.6,2.8,250,9.4,34.8135,127.9286,44.41
2001,3,6,65,7.377,16.2,2.5,0.0,9.5,42.6,2.8,270,5.9,34.8135,127.9286,44.41
2001,3,7,66,10.286,5.9,-1.5,0.0,2.5,38.6,4.2,290,10.1,34.8135,127.9286,44.41
2001,3,8,67,5.78,1.5,-2.5,0.0,-1.1,54.1,3.8,290,3.5,34.8135,127.9286,44.41
2001,3,9,68,11.053,6.5,-3.2,0.0,1.5,39.5,2.4,290,11.1,34.8135,127.9286,44.41
2001,3,10,69,10.057,12.8,0.1,0.0,6.2,42.0,2.8,290,9.6,34.8135,127.9286,44.41
2001,3,11,70,8.708,10.5,-0.6,0.0,3.8,40.5,1.3,200,7.6,34.8135,127.9286,44.41
2001,3,12,71,11.12,9.5,-0.6,0.0,4.2,39.9,2.0,290,11.0,34.8135,127.9286,44.41
2001,3,13,72,11.169,12.6,-1.7,0.0,4.9,49.1,1.2,230,11.0,34.8135,127.9286,44.41
2001,3,14,73,7.139,16.7,1.7,0.0,11.0,61.3,1.9,230,5.2,34.8135,127.9286,44.41
2001,3,15,74,11.273,16.5,5.0,0.0,10.0,41.1,2.2,250,11.0,34.8135,127.9286,44.41
2001,3,16,75,8.986,14.5,1.7,0.0,8.2,52.5,1.2,250,7.7,34.8135,127.9286,44.41
2001,3,17,76,5.683,11.5,6.8,3.5,8.9,67.0,0.8,270,3.0,34.8135,127.9286,44.41
2001,3,18,77,11.227,17.2,2.5,0.0,11.1,39.9,2.2,250,10.7,34.8135,127.9286,44.41
2001,3,19,78,10.927,18.3,6.8,0.0,13.5,40.6,2.2,250,10.2,34.8135,127.9286,44.41
2001,3,20,79,10.336,20.2,7.0,0.0,14.1,47.1,2.0,250,9.3,34.8135,127.9286,44.41
2001,3,21,80,11.7,21.2,7.3,0.0,13.4,36.9,1.1,250,11.1,34.8135,127.9286,44.41
2001,3,22,81,11.036,22.1,7.1,0.0,14.3,38.8,2.0,270,10.1,34.8135,127.9286,44.41
2001,3,23,82,11.246,18.5,5.1,0.0,11.4,31.1,1.2,250,10.3,34.8135,127.9286,44.41
2001,3,24,83,9.764,19.1,3.5,0.0,11.4,38.4,0.8,70,8.2,34.8135,127.9286,44.41
2001,3,25,84,8.046,22.2,8.3,0.0,14.3,42.5,1.7,270,5.8,34.8135,127.9286,44.41
2001,3,26,85,11.894,13.3,3.9,0.0,8.2,29.1,2.0,250,10.9,34.8135,127.9286,44.41
2001,3,27,86,10.096,13.1,2.5,0.0,7.9,36.6,1.4,90,8.4,34.8135,127.9286,44.41
2001,3,28,87,9.407,13.3,5.1,0.5,7.9,58.1,1.7,360,7.4,34.8135,127.9286,44.41
2001,3,29,88,11.057,8.8,1.0,0.0,5.5,34.0,2.7,320,9.5,34.8135,127.9286,44.41
2001,3,30,89,3.902,5.5,-0.3,3.0,2.1,72.1,0.8,250,0.0,34.8135,127.9286,44.41
2001,3,31,90,12.5,11.6,-1.3,0.0,5.9,44.3,2.2,290,11.2,34.8135,127.9286,44.41
2001,4,1,91,10.845,14.6,-0.3,0.0,7.9,38.6,2.2,270,11.2,34.8135,127.9286,44.41
2001,4,2,92,11.076,17.5,2.9,0.0,11.7,48.4,2.2,270,11.5,34.8135,127.9286,44.41
2001,4,3,93,10.02,18.1,6.0,0.0,11.0,53.6,1.4,270,9.9,34.8135,127.9286,44.41
2001,4,4,94,11.07,17.5,4.0,0.0,9.4,51.5,1.3,230,11.4,34.8135,127.9286,44.41
2001,4,5,95,9.535,19.7,3.4,0.0,11.5,50.6,1.0,270,9.1,34.8135,127.9286,44.41
2001,4,6,96,10.25,20.3,5.0,0.0,12.0,45.9,1.1,200,10.1,34.8135,127.9286,44.41
2001,4,7,97,10.492,21.3,6.4,0.0,12.8,57.5,0.9,250,10.4,34.8135,127.9286,44.41
2001,4,8,98,8.052,21.7,6.5,0.0,15.1,57.1,0.7,70,6.8,34.8135,127.9286,44.41
2001,4,9,99,8.774,24.6,13.6,0.0,17.6,55.1,1.6,250,7.8,34.8135,127.9286,44.41
2001,4,10,100,10.403,24.7,12.8,0.0,17.5,49.0,1.0,270,10.1,34.8135,127.9286,44.41
2001,4,11,101,3.422,17.7,6.5,0.5,11.8,55.1,2.2,270,0.0,34.8135,127.9286,44.41
2001,4,12,102,11.469,16.2,4.9,0.0,10.2,38.0,3.1,250,11.5,34.8135,127.9286,44.41
2001,4,13,103,10.678,18.8,5.5,0.0,13.1,43.1,2.1,230,10.3,34.8135,127.9286,44.41
2001,4,14,104,11.079,18.0,9.3,2.5,13.3,38.5,3.2,250,10.8,34.8135,127.9286,44.41
2001,4,15,105,11.202,22.0,9.8,0.0,15.2,35.1,2.8,250,10.9,34.8135,127.9286,44.41
2001,4,16,106,11.469,21.0,8.1,0.0,13.9,50.5,1.5,200,11.2,34.8135,127.9286,44.41
2001,4,17,107,11.811,23.7,7.0,0.0,13.8,48.9,1.0,230,11.6,34.8135,127.9286,44.41
2001,4,18,108,11.657,25.0,6.8,0.0,15.2,45.9,1.2,230,11.3,34.8135,127.9286,44.41
2001,4,19,109,11.358,25.6,7.9,0.0,17.1,43.6,1.7,250,10.8,34.8135,127.9286,44.41
2001,4,20,110,6.074,16.0,6.9,0.0,12.3,55.9,2.3,90,3.4,34.8135,127.9286,44.41
2001,4,21,111,8.579,19.7,7.3,0.0,12.8,49.9,1.8,360,6.8,34.8135,127.9286,44.41
2001,4,22,112,11.911,19.1,6.3,0.0,11.8,49.4,1.6,230,11.3,34.8135,127.9286,44.41
2001,4,23,113,11.686,21.7,5.5,0.0,14.4,52.8,1.6,250,10.9,34.8135,127.9286,44.41
2001,4,24,114,5.344,20.7,8.5,0.0,14.2,47.0,0.9,230,2.2,34.8135,127.9286,44.41
2001,4,25,115,10.49,19.0,7.8,0.0,12.2,55.1,1.5,230,9.1,34.8135,127.9286,44.41
2001,4,26,116,11.671,21.5,7.3,0.0,13.3,44.4,1.2,230,10.6,34.8135,127.9286,44.41
2001,4,27,117,11.892,22.2,7.3,0.0,14.2,44.6,1.4,200,10.8,34.8135,127.9286,44.41
2001,4,28,118,4.818,16.7,9.6,4.5,13.3,74.6,0.5,20,1.3,34.8135,127.9286,44.41
2001,4,29,119,3.871,14.3,12.6,45.5,13.5,89.4,1.2,20,0.0,34.8135,127.9286,44.41
2001,4,30,120,8.466,21.5,11.8,10.5,15.4,68.1,2.0,360,6.0,34.8135,127.9286,44.41
2001,5,1,121,6.252,17.6,12.0,1.0,14.0,59.4,1.7,340,4.4,34.8135,127.9286,44.41
2001,5,2,122,8.436,20.8,10.8,2.0,14.8,58.4,1.5,200,7.6,34.8135,127.9286,44.41
2001,5,3,123,8.866,19.1,10.1,0.0,14.1,62.6,1.1,200,8.2,34.8135,127.9286,44.41
2001,5,4,124,8.689,20.1,9.8,0.0,13.7,64.4,1.0,110,7.9,34.8135,127.9286,44.41
2001,5,5,125,6.738,19.7,8.8,0.0,14.1,69.9,0.9,230,5.0,34.8135,127.9286,44.41
2001,5,6,126,7.377,23.2,11.5,0.0,16.5,71.9,0.9,20,5.9,34.8135,127.9286,44.41
2001,5,7,127,3.356,15.8,14.3,39.5,15.2,92.1,0.6,360,0.0,34.8135,127.9286,44.41
2001,5,8,128,4.541,21.3,14.1,0.5,17.1,82.5,0.7,90,1.7,34.8135,127.9286,44.41
2001,5,9,129,9.465,23.2,14.1,0.0,18.1,54.1,2.1,270,8.8,34.8135,127.9286,44.41
2001,5,10,130,10.681,24.2,10.3,0.0,17.4,42.0,1.7,270,10.5,34.8135,127.9286,44.41
2001,5,11,131,11.698,23.6,13.6,0.0,18.5,37.0,2.9,270,11.9,34.8135,127.9286,44.41
2001,5,12,132,12.027,23.5,11.1,0.0,16.6,48.3,1.4,230,12.3,34.8135,127.9286,44.41
2001,5,13,133,10.888,25.7,9.6,0.0,17.2,48.0,1.2,250,10.6,34.8135,127.9286,44.41
2001,5,14,134,9.883,24.2,12.8,0.0,17.7,59.8,1.0,270,9.1,34.8135,127.9286,44.41
2001,5,15,135,8.517,24.7,13.3,0.0,19.6,60.9,1.8,250,7.1,34.8135,127.9286,44.41
2001,5,16,136,11.398,27.0,13.8,0.0,20.7,32.0,2.2,270,11.1,34.8135,127.9286,44.41
2001,5,17,137,11.099,27.0,13.1,0.0,20.9,37.0,2.3,230,10.6,34.8135,127.9286,44.41
2001,5,18,138,6.503,21.3,14.0,0.0,18.5,67.0,1.6,180,4.1,34.8135,127.9286,44.41
2001,5,19,139,11.862,26.7,15.6,0.0,20.5,66.0,1.2,200,11.5,34.8135,127.9286,44.41
2001,5,20,140,9.758,27.5,14.6,0.0,20.6,67.4,0.9,160,8.5,34.8135,127.9286,44.41
2001,5,21,141,3.643,22.0,17.1,12.5,18.9,75.8,1.1,20,0.0,34.8135,127.9286,44.41
2001,5,22,142,3.669,17.7,16.0,20.0,16.6,80.8,2.1,360,0.0,34.8135,127.9286,44.41
2001,5,23,143,3.696,20.8,16.0,4.0,18.1,72.0,1.5,340,0.0,34.8135,127.9286,44.41
2001,5,24,144,11.017,27.6,14.8,0.0,20.3,62.0,0.8,320,9.9,34.8135,127.9286,44.41
2001,5,25,145,8.417,24.7,15.1,0.0,19.4,71.4,0.7,230,6.3,34.8135,127.9286,44.41
2001,5,26,146,4.674,24.1,16.3,0.5,19.8,73.1,0.4,250,1.2,34.8135,127.9286,44.41
