year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2006,1,1,1,3.727,5.7,-2.2,0.0,2.1,58.9,2.4,270,1.4,38.2481,128.567,17.79
2006,1,2,2,7.539,6.9,-0.8,0.0,2.5,34.8,3.9,270,7.6,38.2481,128.567,17.79
2006,1,3,3,7.502,3.9,-3.5,0.0,0.0,19.5,4.8,270,7.5,38.2481,128.567,17.79
2006,1,4,4,5.864,0.1,-4.5,0.0,-2.7,24.5,3.3,290,4.8,38.2481,128.567,17.79
2006,1,5,5,7.617,1.2,-6.6,0.0,-3.1,33.9,2.7,270,7.6,38.2481,128.567,17.79
2006,1,6,6,7.771,-0.7,-8.5,0.0,-4.8,23.4,2.7,290,7.8,38.2481,128.567,17.79
2006,1,7,7,7.803,1.0,-9.6,0.0,-4.7,28.3,2.1,270,7.8,38.2481,128.567,17.79
2006,1,8,8,7.836,2.1,-7.1,0.0,-2.4,31.5,2.1,270,7.8,38.2481,128.567,17.79
2006,1,9,9,7.683,4.9,-6.5,0.0,-1.4,38.3,1.6,270,7.5,38.2481,128.567,17.79
2006,1,10,10,5.579,5.0,-2.5,0.0,0.8,48.3,2.9,290,4.1,38.2481,128.567,17.79
2006,1,11,11,7.757,3.5,-4.3,0.0,-0.8,44.1,1.7,270,7.5,38.2481,128.567,17.79
2006,1,12,12,4.813,3.2,-3.4,3.8,0.3,68.0,1.6,270,2.8,38.2481,128.567,17.79
2006,1,13,13,3.055,2.0,-0.3,9.5,0.8,93.8,1.1,290,0.0,38.2481,128.567,17.79
2006,1,14,14,3.076,3.2,0.3,1.5,2.1,89.6,1.4,270,0.0,38.2481,128.567,17.79
2006,1,15,15,4.513,8.3,-1.0,0.0,3.3,66.1,1.7,230,2.2,38.2481,128.567,17.79
2006,1,16,16,3.119,6.4,-0.7,0.0,2.5,53.5,2.4,340,0.0,38.2481,128.567,17.79
2006,1,17,17,5.937,3.3,-2.5,0.0,0.5,52.5,2.5,270,4.3,38.2481,128.567,17.79
2006,1,18,18,3.166,1.1,-0.8,5.3,0.3,86.4,2.1,320,0.0,38.2481,128.567,17.79
2006,1,19,19,3.585,1.1,-2.5,0.5,-0.5,83.6,1.8,290,0.6,38.2481,128.567,17.79
2006,1,20,20,6.914,3.1,-2.7,0.0,0.1,81.8,1.3,270,5.6,38.2481,128.567,17.79
2006,1,21,21,5.3,3.7,-3.3,0.0,0.5,66.0,2.2,290,3.1,38.2481,128.567,17.79
2006,1,22,22,8.61,2.3,-5.3,0.0,-0.9,28.8,3.4,290,8.0,38.2481,128.567,17.79
2006,1,23,23,8.735,5.2,-8.0,0.0,-0.8,26.9,2.7,270,8.1,38.2481,128.567,17.79
2006,1,24,24,8.728,1.8,-6.4,0.0,-1.9,47.8,2.0,250,8.0,38.2481,128.567,17.79
2006,1,25,25,8.313,5.7,-6.4,0.0,0.7,43.6,3.0,270,7.3,38.2481,128.567,17.79
2006,1,26,26,8.441,6.3,-2.5,0.0,2.7,44.6,2.0,270,7.4,38.2481,128.567,17.79
2006,1,27,27,8.639,8.1,-0.7,0.0,3.2,43.0,3.4,270,7.6,38.2481,128.567,17.79
2006,1,28,28,5.313,5.2,-1.2,0.0,1.3,64.9,2.3,270,2.7,38.2481,128.567,17.79
2006,1,29,29,7.166,7.9,-2.4,0.0,3.0,73.1,1.8,160,5.3,38.2481,128.567,17.79
2006,1,30,30,3.931,7.5,2.0,1.0,4.1,75.1,3.2,340,0.6,38.2481,128.567,17.79
2006,1,31,31,3.544,2.2,0.0,15.5,0.8,93.9,1.8,110,0.0,38.2481,128.567,17.79
2006,2,1,32,4.155,2.8,-1.8,7.5,0.6,86.4,3.5,340,2.1,38.2481,128.567,17.79
2006,2,2,33,8.03,3.6,-5.0,0.0,-0.5,37.5,2.9,270,8.4,38.2481,128.567,17.79
2006,2,3,34,7.932,-2.3,-11.9,0.0,-9.0,37.1,3.9,270,8.2,38.2481,128.567,17.79
2006,2,4,35,8.206,-0.4,-11.3,0.0,-5.3,24.1,2.6,320,8.6,38.2481,128.567,17.79
2006,2,5,36,7.679,0.7,-10.4,0.0,-4.0,36.6,1.9,270,7.7,38.2481,128.567,17.79
2006,2,6,37,4.732,1.4,-4.5,0.1,-1.0,53.6,2.6,270,2.9,38.2481,128.567,17.79
2006,2,7,38,3.508,1.3,-2.0,6.1,-0.5,86.0,2.7,340,0.9,38.2481,128.567,17.79
2006,2,8,39,5.088,-0.7,-6.1,0.0,-3.6,44.8,2.6,250,3.4,38.2481,128.567,17.79
2006,2,9,40,8.373,3.3,-7.6,0.0,-1.2,30.0,3.9,270,8.6,38.2481,128.567,17.79
2006,2,10,41,7.656,4.8,-0.3,0.0,2.3,41.3,5.6,270,7.4,38.2481,128.567,17.79
2006,2,11,42,6.429,4.7,-3.1,0.6,0.7,68.8,3.2,270,5.4,38.2481,128.567,17.79
2006,2,12,43,8.368,7.0,-5.2,0.0,0.8,32.9,2.9,270,8.4,38.2481,128.567,17.79
2006,2,13,44,8.411,14.4,3.3,0.0,8.4,31.6,5.8,270,8.4,38.2481,128.567,17.79
2006,2,14,45,4.933,16.1,7.6,0.0,10.0,58.8,3.1,50,2.9,38.2481,128.567,17.79
2006,2,15,46,3.097,8.6,0.2,0.0,4.3,70.4,2.6,140,0.0,38.2481,128.567,17.79
2006,2,16,47,7.258,10.9,-1.1,0.0,3.8,41.5,3.0,270,6.4,38.2481,128.567,17.79
2006,2,17,48,8.472,1.5,-5.0,0.0,-2.0,22.4,3.1,270,8.2,38.2481,128.567,17.79
2006,2,18,49,8.85,6.7,-2.7,0.0,2.7,28.8,3.3,270,8.7,38.2481,128.567,17.79
2006,2,19,50,8.445,10.1,0.6,0.0,5.2,40.0,2.3,140,8.0,38.2481,128.567,17.79
2006,2,20,51,8.895,11.9,0.2,0.0,6.6,38.3,2.5,160,8.6,38.2481,128.567,17.79
2006,2,21,52,8.487,10.7,-0.8,0.0,6.0,49.6,1.7,110,7.9,38.2481,128.567,17.79
2006,2,22,53,5.205,11.0,0.4,0.0,5.7,58.4,2.8,270,2.9,38.2481,128.567,17.79
2006,2,23,54,8.87,8.7,-1.2,0.0,3.9,36.1,2.7,290,8.3,38.2481,128.567,17.79
2006,2,24,55,9.2,6.3,-0.7,0.0,2.4,52.5,2.4,270,8.7,38.2481,128.567,17.79
2006,2,25,56,6.751,6.0,-1.6,0.0,2.3,76.9,1.7,270,5.0,38.2481,128.567,17.79
2006,2,26,57,8.099,10.0,-0.8,0.0,3.8,47.1,3.8,270,6.9,38.2481,128.567,17.79
2006,2,27,58,8.983,3.2,-4.3,0.0,-0.4,46.1,1.8,20,8.1,38.2481,128.567,17.79
2006,2,28,59,3.446,1.2,-0.9,4.0,0.4,82.0,1.2,290,0.0,38.2481,128.567,17.79
2006,3,1,60,6.6,5.7,0.0,0.2,1.9,61.5,2.9,290,6.1,38.2481,128.567,17.79
2006,3,2,61,7.846,3.8,-1.9,0.0,0.6,38.3,4.0,270,8.1,38.2481,128.567,17.79
2006,3,3,62,8.362,4.2,-3.6,0.0,1.0,38.5,2.3,270,8.9,38.2481,128.567,17.79
2006,3,4,63,6.85,10.5,0.5,0.0,5.7,34.8,2.4,70,6.4,38.2481,128.567,17.79
2006,3,5,64,8.174,16.3,6.8,0.0,11.6,32.6,3.0,270,8.5,38.2481,128.567,17.79
2006,3,6,65,3.182,10.8,0.8,3.5,3.1,78.4,2.2,200,0.4,38.2481,128.567,17.79
2006,3,7,66,8.549,14.9,-1.1,0.0,7.6,46.5,3.5,270,9.0,38.2481,128.567,17.79
2006,3,8,67,8.273,10.3,-0.7,0.0,5.0,57.6,2.2,140,8.5,38.2481,128.567,17.79
2006,3,9,68,3.169,6.0,2.7,0.0,4.2,80.8,2.2,340,0.3,38.2481,128.567,17.79
2006,3,10,69,6.46,18.5,0.9,0.0,10.3,60.4,2.7,250,5.5,38.2481,128.567,17.79
2006,3,11,70,3.016,12.8,5.6,0.0,9.7,33.0,4.0,270,0.0,38.2481,128.567,17.79
2006,3,12,71,9.129,5.7,-6.2,0.0,-1.1,22.1,4.8,290,9.6,38.2481,128.567,17.79
2006,3,13,72,7.901,2.8,-6.4,0.0,-1.1,27.5,4.6,290,7.6,38.2481,128.567,17.79
2006,3,14,73,9.225,7.9,-3.5,0.0,2.6,29.3,3.9,90,9.6,38.2481,128.567,17.79
2006,3,15,74,6.251,14.3,3.7,0.0,9.9,26.3,3.3,250,4.9,38.2481,128.567,17.79
2006,3,16,75,3.507,10.3,4.8,1.0,6.8,62.5,2.6,270,0.6,38.2481,128.567,17.79
2006,3,17,76,9.187,16.0,3.1,0.0,10.1,50.6,3.0,270,9.3,38.2481,128.567,17.79
2006,3,18,77,6.759,17.8,3.3,0.5,11.5,40.0,3.7,270,5.5,38.2481,128.567,17.79
2006,3,19,78,10.087,7.3,0.4,0.1,3.9,33.5,4.0,320,10.5,38.2481,128.567,17.79
2006,3,20,79,7.442,14.8,2.1,0.0,9.1,21.4,2.7,110,6.4,38.2481,128.567,17.79
2006,3,21,80,9.018,10.8,3.1,0.0,7.2,53.8,2.3,20,8.7,38.2481,128.567,17.79
2006,3,22,81,7.208,13.6,2.1,0.0,8.0,62.5,2.3,290,5.9,38.2481,128.567,17.79
2006,3,23,82,9.474,9.9,1.1,0.0,5.9,60.9,3.1,340,9.2,38.2481,128.567,17.79
2006,3,24,83,10.618,11.6,0.3,0.0,8.0,32.1,3.4,270,10.8,38.2481,128.567,17.79
2006,3,25,84,9.4,18.9,8.1,0.5,12.9,34.4,4.2,250,8.9,38.2481,128.567,17.79
2006,3,26,85,10.149,10.8,2.0,0.0,6.6,37.8,2.7,290,9.9,38.2481,128.567,17.79
2006,3,27,86,10.289,16.3,1.1,0.0,8.1,39.4,2.7,270,10.0,38.2481,128.567,17.79
2006,3,28,87,3.723,8.4,0.0,2.5,3.3,64.4,4.1,340,0.4,38.2481,128.567,17.79
2006,3,29,88,8.141,8.6,-1.6,1.0,3.3,54.6,3.0,270,6.7,38.2481,128.567,17.79
2006,3,30,89,10.864,7.3,0.1,0.0,3.7,40.6,3.6,270,10.5,38.2481,128.567,17.79
2006,3,31,90,10.662,10.6,-0.4,0.0,6.4,44.6,2.5,140,10.1,38.2481,128.567,17.79
2006,4,1,91,2.933,14.4,5.4,3.0,10.0,68.1,1.7,140,0.1,38.2481,128.567,17.79
2006,4,2,92,4.23,9.8,4.9,1.5,6.0,86.0,4.3,340,2.2,38.2481,128.567,17.79
2006,4,3,93,9.161,22.5,7.6,0.0,15.9,33.9,3.1,270,10.2,38.2481,128.567,17.79
2006,4,4,94,2.906,16.6,5.6,0.0,8.5,74.5,3.4,340,0.0,38.2481,128.567,17.79
2006,4,5,95,8.668,10.3,4.4,0.0,7.0,73.3,2.4,290,9.3,38.2481,128.567,17.79
2006,4,6,96,2.933,9.8,5.3,0.0,7.5,75.5,2.5,140,0.0,38.2481,128.567,17.79
2006,4,7,97,7.491,15.6,4.3,0.1,10.0,63.8,2.8,270,7.3,38.2481,128.567,17.79
2006,4,8,98,6.962,14.6,7.4,0.0,9.7,50.4,3.9,270,6.4,38.2481,128.567,17.79
2006,4,9,99,3.043,11.5,6.4,5.0,8.1,84.8,3.5,340,0.1,38.2481,128.567,17.79
2006,4,10,100,2.998,8.6,6.1,9.0,7.0,92.9,2.2,340,0.0,38.2481,128.567,17.79
2006,4,11,101,3.016,9.9,7.2,11.5,8.7,93.0,4.1,340,0.0,38.2481,128.567,17.79
2006,4,12,102,3.035,10.2,6.5,2.5,8.5,79.0,2.7,340,0.0,38.2481,128.567,17.79
2006,4,13,103,3.948,8.1,1.9,0.0,5.4,59.3,1.9,70,1.4,38.2481,128.567,17.79
2006,4,14,104,7.496,11.2,2.2,0.0,6.7,66.5,2.8,140,6.9,38.2481,128.567,17.79
