year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1991,1,1,1,2.69,2.0,-8.4,0.7,-0.9,79.8,1.1,250,0.0,38.1451,127.3063,154.22
1991,1,2,2,10.9,-4.8,-15.6,0.0,-10.6,56.8,2.2,270,7.7,38.1451,127.3063,154.22
1991,1,3,3,7.11,-3.4,-19.2,0.8,-11.6,73.8,2.0,250,2.5,38.1451,127.3063,154.22
1991,1,4,4,10.17,-5.8,-15.7,0.0,-10.7,41.3,3.7,250,7.9,38.1451,127.3063,154.22
1991,1,5,5,11.81,-8.0,-21.4,0.0,-15.1,59.0,2.1,20,7.3,38.1451,127.3063,154.22
1991,1,6,6,10.56,-3.9,-20.6,0.0,-13.4,68.3,1.1,200,7.2,38.1451,127.3063,154.22
1991,1,7,7,1.91,-1.8,-11.7,2.9,-7.1,78.3,1.1,180,2.1,38.1451,127.3063,154.22
1991,1,8,8,9.13,-5.6,-19.8,0.0,-13.3,76.5,0.6,20,6.7,38.1451,127.3063,154.22
1991,1,9,9,9.2,-2.4,-21.6,0.0,-13.2,69.8,1.0,110,7.2,38.1451,127.3063,154.22
1991,1,10,10,8.65,-0.2,-12.2,0.1,-6.1,76.8,1.6,290,5.0,38.1451,127.3063,154.22
1991,1,11,11,7.72,-0.6,-13.4,0.0,-8.3,75.3,0.6,340,3.7,38.1451,127.3063,154.22
1991,1,12,12,10.07,-1.1,-15.2,0.0,-8.9,63.8,1.3,20,7.1,38.1451,127.3063,154.22
1991,1,13,13,10.52,-4.3,-17.8,0.0,-11.6,59.0,2.1,230,7.9,38.1451,127.3063,154.22
1991,1,14,14,7.66,-3.8,-19.0,0.0,-12.7,67.3,0.9,20,3.7,38.1451,127.3063,154.22
1991,1,15,15,7.45,0.2,-15.6,0.4,-7.2,78.5,1.0,230,4.4,38.1451,127.3063,154.22
1991,1,16,16,3.26,4.4,-13.7,4.8,-3.9,85.3,2.2,200,0.0,38.1451,127.3063,154.22
1991,1,17,17,9.98,2.4,-9.6,0.0,-3.6,58.3,2.3,250,7.0,38.1451,127.3063,154.22
