year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2013,1,1,1,5.138,1.9,-13.3,4.5,-5.8,76.5,1.3,200,3.6,37.8991,127.0628,112.49
2013,1,2,2,8.375,-5.9,-16.4,0.0,-12.4,47.9,2.9,320,8.8,37.8991,127.0628,112.49
2013,1,3,3,8.401,-7.9,-20.7,0.0,-14.4,53.8,1.5,320,8.8,37.8991,127.0628,112.49
2013,1,4,4,8.429,-5.0,-19.7,0.0,-13.6,60.8,1.0,20,8.8,37.8991,127.0628,112.49
2013,1,5,5,5.835,-0.7,-17.6,0.0,-10.4,74.3,0.7,20,4.6,37.8991,127.0628,112.49
2013,1,6,6,8.177,-0.2,-15.4,0.0,-9.3,71.5,0.9,20,8.3,37.8991,127.0628,112.49
2013,1,7,7,6.323,0.2,-14.5,0.0,-8.0,68.0,0.9,20,5.3,37.8991,127.0628,112.49
2013,1,8,8,7.992,-0.3,-12.8,0.0,-7.2,65.6,1.4,20,7.9,37.8991,127.0628,112.49
2013,1,9,9,8.661,-4.8,-15.1,0.0,-10.8,60.3,1.4,20,8.9,37.8991,127.0628,112.49
2013,1,10,10,8.509,-2.0,-17.5,0.0,-10.5,58.0,0.9,20,8.6,37.8991,127.0628,112.49
2013,1,11,11,6.123,1.9,-11.0,0.0,-4.9,65.1,0.9,160,4.8,37.8991,127.0628,112.49
2013,1,12,12,3.077,4.3,-4.6,0.1,-0.8,77.9,1.0,290,0.0,37.8991,127.0628,112.49
2013,1,13,13,3.998,3.1,-7.1,0.0,-3.7,82.5,0.9,20,1.4,37.8991,127.0628,112.49
2013,1,14,14,6.029,4.1,-9.9,0.0,-4.7,74.0,1.3,20,4.5,37.8991,127.0628,112.49
2013,1,15,15,4.634,3.4,-10.8,0.0,-4.7,72.8,1.0,360,2.3,37.8991,127.0628,112.49
2013,1,16,16,5.382,2.6,-6.5,0.0,-3.3,71.8,1.3,290,3.4,37.8991,127.0628,112.49
2013,1,17,17,7.319,-1.4,-10.4,0.0,-6.8,74.1,1.3,360,6.3,37.8991,127.0628,112.49
2013,1,18,18,9.211,1.2,-13.7,0.0,-6.5,61.6,1.2,20,9.1,37.8991,127.0628,112.49
2013,1,19,19,6.813,6.1,-6.7,0.0,-1.4,70.8,0.9,250,5.4,37.8991,127.0628,112.49
2013,1,20,20,4.257,5.2,-6.2,0.0,-0.4,70.9,0.8,20,1.5,37.8991,127.0628,112.49
2013,1,21,21,3.283,3.5,1.1,12.5,1.6,89.1,1.8,360,0.0,37.8991,127.0628,112.49
2013,1,22,22,3.31,5.5,1.4,0.0,3.1,81.4,1.2,20,0.0,37.8991,127.0628,112.49
2013,1,23,23,3.338,2.5,0.7,1.0,1.4,89.4,1.3,230,0.0,37.8991,127.0628,112.49
2013,1,24,24,3.775,2.0,-7.6,1.0,-1.5,64.1,3.6,290,0.6,37.8991,127.0628,112.49
2013,1,25,25,9.84,-5.2,-12.0,0.0,-9.6,44.1,3.7,290,9.4,37.8991,127.0628,112.49
2013,1,26,26,9.838,-4.2,-15.0,0.0,-9.9,49.3,1.9,20,9.3,37.8991,127.0628,112.49
2013,1,27,27,9.907,-2.8,-14.0,0.0,-8.7,59.0,1.4,340,9.3,37.8991,127.0628,112.49
2013,1,28,28,5.371,0.1,-12.5,0.0,-5.0,65.3,1.0,20,2.7,37.8991,127.0628,112.49
2013,1,29,29,3.518,3.2,-0.6,0.0,1.7,79.5,0.3,320,0.0,37.8991,127.0628,112.49
2013,1,30,30,3.551,8.0,1.6,0.0,4.3,80.4,0.5,50,0.0,37.8991,127.0628,112.49
2013,1,31,31,8.632,13.9,1.7,0.0,7.0,66.6,1.2,90,7.1,37.8991,127.0628,112.49
2013,2,1,32,2.913,8.9,4.7,35.5,6.8,90.5,1.2,340,0.0,37.8991,127.0628,112.49
2013,2,2,33,8.622,5.0,-5.1,0.0,-0.7,61.0,3.0,270,9.2,37.8991,127.0628,112.49
2013,2,3,34,2.935,-0.5,-7.9,8.5,-4.0,73.5,0.7,290,0.0,37.8991,127.0628,112.49
2013,2,4,35,7.495,4.7,-5.4,2.0,-1.0,77.4,2.2,320,7.3,37.8991,127.0628,112.49
2013,2,5,36,3.023,3.8,-7.9,3.0,-2.0,82.6,0.9,360,0.1,37.8991,127.0628,112.49
2013,2,6,37,5.482,1.7,-5.0,1.0,-1.6,80.6,1.8,340,4.0,37.8991,127.0628,112.49
2013,2,7,38,8.713,-3.6,-15.1,0.0,-11.3,49.6,3.9,290,9.1,37.8991,127.0628,112.49
2013,2,8,39,9.002,-5.1,-17.0,0.0,-12.0,47.3,2.0,270,9.5,37.8991,127.0628,112.49
2013,2,9,40,8.724,-0.3,-17.1,0.0,-8.7,65.6,1.1,200,9.0,37.8991,127.0628,112.49
2013,2,10,41,8.891,1.6,-9.2,0.0,-4.7,56.8,2.2,290,9.2,37.8991,127.0628,112.49
2013,2,11,42,9.061,0.6,-13.9,0.0,-6.6,54.0,1.0,20,9.4,37.8991,127.0628,112.49
2013,2,12,43,3.077,-0.4,-7.5,0.0,-4.9,70.4,1.3,340,0.0,37.8991,127.0628,112.49
2013,2,13,44,8.829,5.2,-9.6,0.0,-2.8,67.9,1.2,250,8.9,37.8991,127.0628,112.49
2013,2,14,45,7.517,7.8,-5.6,0.0,0.2,70.4,0.9,230,6.8,37.8991,127.0628,112.49
2013,2,15,46,9.574,2.9,-5.8,0.0,-1.2,50.1,2.6,320,9.9,37.8991,127.0628,112.49
2013,2,16,47,9.497,3.5,-10.2,0.0,-3.4,49.9,1.0,270,9.7,37.8991,127.0628,112.49
2013,2,17,48,5.087,7.3,-4.5,0.0,0.9,58.6,1.1,230,2.9,37.8991,127.0628,112.49
2013,2,18,49,5.78,4.9,-2.6,0.0,0.7,54.8,2.1,320,3.9,37.8991,127.0628,112.49
2013,2,19,50,9.93,2.7,-7.6,0.0,-2.9,30.6,3.1,290,10.1,37.8991,127.0628,112.49
2013,2,20,51,9.724,1.4,-11.1,0.0,-5.0,44.0,1.8,230,9.7,37.8991,127.0628,112.49
2013,2,21,52,9.383,3.7,-6.7,0.0,-2.5,54.5,1.5,250,9.1,37.8991,127.0628,112.49
2013,2,22,53,8.77,5.6,-5.1,0.2,-0.2,56.9,2.8,290,8.1,37.8991,127.0628,112.49
2013,2,23,54,9.709,3.5,-8.1,0.0,-1.6,55.0,2.2,270,9.4,37.8991,127.0628,112.49
2013,2,24,55,9.228,5.9,-6.4,0.0,-0.3,49.9,1.3,320,8.6,37.8991,127.0628,112.49
2013,2,25,56,8.537,8.8,-3.7,0.0,1.8,53.1,1.0,360,7.5,37.8991,127.0628,112.49
2013,2,26,57,3.425,6.9,-1.1,0.0,2.6,76.3,0.9,20,0.0,37.8991,127.0628,112.49
2013,2,27,58,8.658,11.4,-0.9,0.0,3.6,73.8,1.6,360,7.5,37.8991,127.0628,112.49
2013,2,28,59,6.837,13.2,-2.4,0.5,5.1,63.9,1.6,160,4.8,37.8991,127.0628,112.49
2013,3,1,60,8.906,6.9,-2.2,2.5,1.4,57.9,4.1,320,9.7,37.8991,127.0628,112.49
2013,3,2,61,8.87,6.3,-4.8,0.0,-0.5,44.8,2.3,360,9.6,37.8991,127.0628,112.49
2013,3,3,62,9.084,7.0,-4.6,0.0,0.3,56.1,1.8,250,9.9,37.8991,127.0628,112.49
2013,3,4,63,6.747,9.9,-2.9,0.0,2.8,58.8,1.5,320,6.1,37.8991,127.0628,112.49
2013,3,5,64,9.521,11.2,-3.7,0.0,2.8,58.8,1.8,250,10.5,37.8991,127.0628,112.49
2013,3,6,65,7.237,15.1,-1.7,0.0,6.9,50.8,1.5,160,6.8,37.8991,127.0628,112.49
2013,3,7,66,4.814,13.4,4.5,0.5,9.2,70.9,2.6,200,2.9,37.8991,127.0628,112.49
2013,3,8,67,6.035,15.6,3.7,0.0,8.0,68.8,1.7,250,4.8,37.8991,127.0628,112.49
2013,3,9,68,8.724,24.7,1.2,0.0,11.8,58.8,2.7,250,9.0,37.8991,127.0628,112.49
2013,3,10,69,9.972,8.4,-2.1,0.0,1.8,35.1,3.9,320,10.9,37.8991,127.0628,112.49
