year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2008,1,1,1,8.169,-2.7,-9.9,0.0,-6.8,56.6,2.2,320,8.5,37.8844,126.7625,31.0
2008,1,2,2,8.193,1.8,-13.0,0.0,-5.9,67.9,1.2,160,8.5,37.8844,126.7625,31.0
2008,1,3,3,6.603,6.7,-7.9,0.0,-1.8,68.1,1.3,290,5.9,37.8844,126.7625,31.0
2008,1,4,4,7.249,3.9,-10.4,0.0,-3.3,72.5,0.7,160,6.9,37.8844,126.7625,31.0
2008,1,5,5,6.963,6.0,-9.7,0.0,-2.6,82.9,0.6,160,6.4,37.8844,126.7625,31.0
2008,1,6,6,2.977,6.0,-5.3,0.0,0.1,88.4,0.5,70,0.0,37.8844,126.7625,31.0
2008,1,7,7,3.055,2.9,-2.3,0.0,-0.2,98.1,1.0,20,0.1,37.8844,126.7625,31.0
2008,1,8,8,3.576,3.8,-4.4,0.0,-1.9,93.9,0.8,20,0.9,37.8844,126.7625,31.0
2008,1,9,9,3.468,0.5,-6.8,0.0,-3.5,77.8,1.7,50,0.7,37.8844,126.7625,31.0
2008,1,10,10,8.068,3.4,-10.0,0.0,-3.4,49.3,1.8,50,7.9,37.8844,126.7625,31.0
2008,1,11,11,3.059,0.6,-4.1,4.1,-1.5,76.4,2.5,20,0.0,37.8844,126.7625,31.0
2008,1,12,12,5.966,4.1,-7.3,0.0,-0.5,61.9,2.3,50,4.5,37.8844,126.7625,31.0
2008,1,13,13,7.609,-0.3,-11.4,0.0,-5.5,41.1,2.3,20,7.0,37.8844,126.7625,31.0
2008,1,14,14,8.751,1.4,-10.7,0.0,-5.7,49.6,1.4,20,8.7,37.8844,126.7625,31.0
2008,1,15,15,7.433,0.0,-13.6,0.0,-6.7,54.5,1.1,250,6.6,37.8844,126.7625,31.0
2008,1,16,16,8.913,-3.1,-15.0,0.0,-9.1,51.5,2.0,320,8.8,37.8844,126.7625,31.0
2008,1,17,17,4.17,-4.2,-17.4,0.0,-10.2,56.8,0.9,140,1.5,37.8844,126.7625,31.0
2008,1,18,18,8.819,-0.5,-14.9,0.0,-8.6,58.5,0.7,160,8.5,37.8844,126.7625,31.0
2008,1,19,19,5.224,0.4,-12.4,0.0,-5.3,48.6,1.6,50,3.0,37.8844,126.7625,31.0
2008,1,20,20,3.459,5.6,-4.7,0.0,0.1,50.1,2.5,50,0.3,37.8844,126.7625,31.0
2008,1,21,21,3.889,4.4,-1.6,0.5,0.9,67.6,2.5,50,0.9,37.8844,126.7625,31.0
2008,1,22,22,3.312,1.3,-1.8,3.9,0.0,89.8,1.8,50,0.0,37.8844,126.7625,31.0
2008,1,23,23,8.493,0.1,-9.5,0.0,-4.2,63.1,2.2,320,7.6,37.8844,126.7625,31.0
2008,1,24,24,9.573,-3.0,-14.3,0.0,-8.0,44.8,2.4,290,9.1,37.8844,126.7625,31.0
2008,1,25,25,8.541,-1.5,-15.6,0.0,-9.0,59.9,1.0,110,7.5,37.8844,126.7625,31.0
2008,1,26,26,9.636,2.2,-12.4,0.0,-6.3,60.6,1.0,70,9.0,37.8844,126.7625,31.0
2008,1,27,27,9.773,4.6,-12.3,0.0,-5.2,59.6,1.1,70,9.1,37.8844,126.7625,31.0
2008,1,28,28,3.488,1.7,-9.2,0.0,-4.3,60.6,0.9,70,0.0,37.8844,126.7625,31.0
2008,1,29,29,8.156,4.5,-9.3,0.0,-3.1,61.9,1.2,180,6.6,37.8844,126.7625,31.0
2008,1,30,30,9.631,0.4,-7.6,0.0,-3.7,59.1,2.2,290,8.6,37.8844,126.7625,31.0
2008,1,31,31,10.2,0.4,-13.4,0.0,-6.4,56.0,1.4,160,9.3,37.8844,126.7625,31.0
2008,2,1,32,8.849,2.7,-14.9,0.0,-6.3,61.0,1.0,160,9.6,37.8844,126.7625,31.0
2008,2,2,33,8.441,3.9,-12.6,0.0,-4.8,67.5,0.9,160,8.9,37.8844,126.7625,31.0
2008,2,3,34,6.914,3.6,-8.1,0.0,-3.3,66.4,1.0,290,6.4,37.8844,126.7625,31.0
2008,2,4,35,8.62,1.5,-12.3,0.0,-5.5,59.4,1.9,320,9.1,37.8844,126.7625,31.0
2008,2,5,36,7.213,0.8,-13.7,0.0,-6.3,57.5,1.0,160,6.8,37.8844,126.7625,31.0
2008,2,6,37,8.997,2.1,-13.0,0.0,-5.8,56.4,1.2,290,9.6,37.8844,126.7625,31.0
2008,2,7,38,8.906,1.8,-14.7,0.0,-7.0,61.9,1.2,230,9.4,37.8844,126.7625,31.0
2008,2,8,39,8.754,2.5,-14.3,0.0,-5.6,63.3,1.0,140,9.1,37.8844,126.7625,31.0
2008,2,9,40,7.397,2.0,-9.6,0.0,-4.3,66.3,1.0,270,6.9,37.8844,126.7625,31.0
2008,2,10,41,7.686,4.5,-12.2,0.0,-4.9,65.8,0.9,20,7.3,37.8844,126.7625,31.0
2008,2,11,42,5.934,5.0,-8.9,0.0,-3.2,56.5,1.7,320,4.5,37.8844,126.7625,31.0
2008,2,12,43,9.302,-2.7,-12.1,0.0,-7.6,29.8,2.9,320,9.7,37.8844,126.7625,31.0
2008,2,13,44,9.349,-1.0,-17.1,0.0,-7.8,40.1,1.7,320,9.7,37.8844,126.7625,31.0
2008,2,14,45,9.398,4.0,-15.0,0.0,-5.3,53.9,1.3,250,9.7,37.8844,126.7625,31.0
2008,2,15,46,9.514,0.4,-8.4,0.0,-4.3,38.3,3.0,290,9.8,37.8844,126.7625,31.0
2008,2,16,47,9.632,1.4,-14.0,0.0,-5.4,41.4,2.2,160,9.9,37.8844,126.7625,31.0
2008,2,17,48,9.687,3.9,-13.8,0.0,-5.4,44.9,1.2,250,9.9,37.8844,126.7625,31.0
2008,2,18,49,8.489,4.2,-13.2,0.0,-4.8,50.8,1.1,70,8.0,37.8844,126.7625,31.0
2008,2,19,50,9.006,6.1,-12.9,0.0,-2.5,69.8,1.5,230,8.7,37.8844,126.7625,31.0
2008,2,20,51,8.795,8.2,-5.5,0.0,0.1,61.9,1.7,290,8.3,37.8844,126.7625,31.0
2008,2,21,52,7.107,10.1,-7.6,0.0,1.2,63.5,1.3,230,5.7,37.8844,126.7625,31.0
2008,2,22,53,4.188,10.2,-2.0,1.0,3.3,77.6,2.3,230,1.3,37.8844,126.7625,31.0
2008,2,23,54,9.917,0.5,-7.2,0.0,-2.8,44.4,3.9,340,9.7,37.8844,126.7625,31.0
2008,2,24,55,10.323,4.8,-11.6,0.0,-3.7,45.0,1.9,50,10.2,37.8844,126.7625,31.0
2008,2,25,56,3.397,2.0,-10.2,4.4,-3.7,81.6,0.8,50,0.0,37.8844,126.7625,31.0
2008,2,26,57,8.739,2.2,-3.9,2.4,-1.3,70.4,2.0,320,7.7,37.8844,126.7625,31.0
2008,2,27,58,10.605,6.2,-8.7,0.0,-0.7,55.6,2.2,290,10.3,37.8844,126.7625,31.0
2008,2,28,59,9.423,8.5,-8.3,0.0,0.5,74.3,1.7,230,8.5,37.8844,126.7625,31.0
2008,2,29,60,5.136,10.3,-1.6,0.0,3.9,64.4,2.3,180,2.3,37.8844,126.7625,31.0
2008,3,1,61,9.282,8.7,-5.6,0.0,1.6,57.5,1.8,160,10.3,37.8844,126.7625,31.0
2008,3,2,62,2.926,4.4,-4.1,0.7,-0.1,85.1,1.1,50,0.0,37.8844,126.7625,31.0
2008,3,3,63,8.405,8.6,-3.7,0.0,1.7,65.4,1.3,270,8.8,37.8844,126.7625,31.0
2008,3,4,64,4.757,6.9,-3.7,0.0,0.5,75.5,1.3,160,2.9,37.8844,126.7625,31.0
2008,3,5,65,9.276,9.2,-7.2,0.0,0.5,63.9,1.5,160,10.1,37.8844,126.7625,31.0
2008,3,6,66,4.607,7.4,-2.0,0.5,2.5,73.3,1.8,340,2.6,37.8844,126.7625,31.0
2008,3,7,67,9.661,10.5,-5.5,0.0,2.3,55.1,1.5,320,10.6,37.8844,126.7625,31.0
2008,3,8,68,9.701,12.1,-6.2,0.0,2.3,67.6,1.3,110,10.6,37.8844,126.7625,31.0
2008,3,9,69,6.954,12.1,-2.0,0.0,3.9,74.9,1.3,250,6.2,37.8844,126.7625,31.0
2008,3,10,70,7.241,11.1,-0.1,0.0,5.4,78.3,1.6,230,6.6,37.8844,126.7625,31.0
