,year,doy,week,rainy_day,total_rain,tavg,tmin_avg,tmax_avg,tavg_10_30_between_sum,humid_avg,wind_avg,sunhours_sum,radn_sum,rain_more_10,rain_more_30,rain_more_50,rain_more_70,rain_more_90,rain_more_110,tavg_less_5_count,tavg_less_5_sum,tavg_less_10_count,tavg_less_10_sum,tavg_more_15_count,tavg_more_15_sum,tavg_more_20_count,tavg_more_20_sum,tavg_more_25_count,tavg_more_25_sum,tavg_more_30_count,tavg_more_30_sum,tavg_more_35_count,tavg_more_35_sum,tavg_more_40_count,tavg_more_40_sum
0,2000,214,31,0,0.0,23.78333333333333,21.516666666666666,28.183333333333334,142.7,81.96666666666665,4.616666666666666,31.9,37.343,0,0,0,0,0,0,0,0.0,0,0.0,6,142.7,6,142.7,0,0.0,0,0.0,0,0.0,0,0.0
1,2000,220,32,0,0.0,25.071428571428573,22.571428571428577,28.8,175.5,86.91428571428571,3.6857142857142855,53.8,55.477999999999994,0,0,0,0,0,0,0,0.0,0,0.0,7,175.5,7,175.5,4,101.9,0,0.0,0,0.0,0,0.0
2,2000,227,33,0,0.0,24.37142857142857,22.22857142857143,27.714285714285715,170.6,84.74285714285715,4.214285714285714,43.900000000000006,50.899,0,0,0,0,0,0,0,0.0,0,0.0,7,170.6,7,170.6,3,77.6,0,0.0,0,0.0,0,0.0
3,2000,234,34,0,0.0,22.342857142857138,20.342857142857138,25.65714285714285,156.39999999999998,85.6,4.757142857142858,34.1,46.70099999999999,0,0,0,0,0,0,0,0.0,0,0.0,7,156.39999999999998,7,156.39999999999998,0,0.0,0,0.0,0,0.0,0,0.0
4,2000,241,35,0,0.0,23.885714285714283,21.471428571428568,27.62857142857143,167.2,86.5142857142857,5.757142857142858,41.3,49.763999999999996,0,0,0,0,0,0,0,0.0,0,0.0,7,167.2,7,167.2,2,51.0,0,0.0,0,0.0,0,0.0
5,2000,248,36,0,0.0,20.37142857142857,18.15714285714286,24.057142857142857,142.6,76.27142857142857,3.8,56.8,56.563,0,0,0,0,0,0,0,0.0,0,0.0,7,142.6,4,84.0,0,0.0,0,0.0,0,0.0,0,0.0
6,2000,255,37,0,0.0,18.97142857142857,17.057142857142857,22.4,132.8,70.05714285714285,6.071428571428571,33.4,43.331999999999994,0,0,0,0,0,0,0,0.0,0,0.0,7,132.8,2,42.0,0,0.0,0,0.0,0,0.0,0,0.0
7,2000,262,38,0,0.0,18.728571428571428,16.685714285714283,22.285714285714285,131.1,80.22857142857143,3.985714285714285,47.99999999999999,55.015,0,0,0,0,0,0,0,0.0,0,0.0,7,131.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
8,2000,269,39,0,0.0,18.314285714285713,16.214285714285715,21.757142857142856,128.2,76.6,3.7714285714285714,49.8,58.011,0,0,0,0,0,0,0,0.0,0,0.0,7,128.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9,2000,276,40,0,0.0,16.814285714285717,14.614285714285714,20.2,117.70000000000002,79.17142857142858,3.6714285714285713,40.699999999999996,46.04800000000001,0,0,0,0,0,0,0,0.0,0,0.0,7,117.70000000000002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
