,year,doy,month,rainy_day,total_rain,tavg,tmin_avg,tmax_avg,tavg_10_30_between_sum,humid_avg,wind_avg,sunhours_sum,radn_sum,rain_more_10,rain_more_30,rain_more_50,rain_more_70,rain_more_90,rain_more_110,tavg_less_5_count,tavg_less_5_sum,tavg_less_10_count,tavg_less_10_sum,tavg_more_15_count,tavg_more_15_sum,tavg_more_20_count,tavg_more_20_sum,tavg_more_25_count,tavg_more_25_sum,tavg_more_30_count,tavg_more_30_sum,tavg_more_35_count,tavg_more_35_sum,tavg_more_40_count,tavg_more_40_sum
0,1984,1,1,2,28.7,-2.7451612903225806,-6.109677419354839,2.3064516129032255,0.0,45.445161290322574,3.503225806451613,217.29999999999998,298.7299999999999,1,0,0,0,0,0,31,-85.1,31,-85.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,1984,32,2,5,40.0,-1.641379310344828,-5.324137931034483,3.186206896551724,0.0,50.34482758620689,3.155172413793104,197.5,338.29999999999995,1,0,0,0,0,0,29,-47.60000000000001,29,-47.60000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,1984,61,3,6,25.299999999999997,3.3967741935483864,-0.3516129032258063,8.080645161290324,11.1,55.40967741935483,3.096774193548387,205.8,445.69,0,0,0,0,0,0,24,53.0,30,94.19999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,1984,92,4,11,116.8,8.933333333333334,4.513333333333333,13.636666666666667,129.3,72.4,1.6466666666666663,146.49999999999997,402.64,3,1,1,0,0,0,1,3.9,19,138.7,1,15.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,1984,122,5,6,51.10000000000001,16.732258064516127,11.75161290322581,21.506451612903223,510.20000000000005,66.23225806451612,1.6645161290322579,226.29999999999998,594.2,2,0,0,0,0,0,0,0.0,1,8.5,22,406.90000000000003,8,169.60000000000002,0,0.0,0,0.0,0,0.0,0,0.0
5,1984,153,6,10,120.8,21.096666666666668,17.54666666666667,24.886666666666667,632.9,72.26333333333334,1.45,139.1,452.33000000000004,6,0,0,0,0,0,0,0.0,0,0.0,30,632.9,15,349.50000000000006,2,50.400000000000006,0,0.0,0,0.0,0,0.0
6,1984,183,7,12,203.5,23.89354838709678,20.870967741935488,27.703225806451616,740.7000000000002,80.48709677419356,1.2,148.1,524.14,4,2,1,1,1,1,0,0.0,0,0.0,31,740.7000000000002,31,740.7000000000002,8,217.7,0,0.0,0,0.0,0,0.0
7,1984,214,8,17,185.5,26.10645161290323,23.132258064516126,29.93870967741936,653.8000000000001,77.83870967741937,1.761290322580645,166.09999999999997,471.68,5,1,1,1,0,0,0,0.0,0,0.0,31,809.3000000000001,31,809.3000000000001,18,508.6,5,155.5,0,0.0,0,0.0
8,1984,245,9,10,442.70000000000005,20.066666666666666,16.523333333333333,24.329999999999995,602.0,73.2,1.8066666666666669,156.09999999999997,411.92999999999995,3,2,2,2,2,2,0,0.0,0,0.0,30,602.0,16,338.0,0,0.0,0,0.0,0,0.0,0,0.0
9,1984,275,10,3,16.8,14.754838709677419,9.725806451612904,19.9741935483871,433.5,57.19354838709677,2.561290322580645,212.90000000000006,411.7200000000001,1,0,0,0,0,0,0,0.0,3,23.9,15,259.79999999999995,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10,1984,306,11,9,111.60000000000001,10.16,6.01,14.786666666666667,196.99999999999997,58.91666666666666,2.65,162.60000000000002,260.28000000000003,4,2,0,0,0,0,4,16.6,16,107.8,5,86.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
11,1984,336,12,6,23.0,2.0354838709677425,-1.5193548387096774,6.464516129032258,11.4,52.32903225806451,3.2548387096774194,157.0,239.05999999999997,0,0,0,0,0,0,20,-18.500000000000004,30,51.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
12,1985,1,1,1,0.1,-1.8838709677419359,-5.825806451612903,3.2870967741935484,0.0,43.761290322580635,3.570967741935484,207.4,305.40000000000003,0,0,0,0,0,0,31,-58.40000000000001,31,-58.40000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
13,1985,32,2,8,61.3,1.8214285714285712,-1.7214285714285715,6.257142857142858,0.0,57.93571428571429,3.021428571428572,152.39999999999998,300.59,2,0,0,0,0,0,27,44.099999999999994,28,50.99999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
14,1985,60,3,6,40.099999999999994,5.6258064516129025,1.796774193548387,10.183870967741935,0.0,56.983870967741936,2.6322580645161286,170.59999999999997,431.98999999999995,1,0,0,0,0,0,11,32.900000000000006,31,174.39999999999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
15,1985,91,4,8,85.9,12.233333333333333,7.343333333333334,16.973333333333336,281.6,56.93666666666666,2.443333333333333,187.9,493.35,2,1,0,0,0,0,0,0.0,10,85.4,6,102.60000000000002,1,20.1,0,0.0,0,0.0,0,0.0,0,0.0
16,1985,121,5,8,139.50000000000003,17.900000000000002,12.709677419354838,22.67096774193548,554.9000000000001,62.09354838709677,2.0161290322580645,214.09999999999997,589.22,2,1,1,1,0,0,0,0.0,0,0.0,24,469.4,11,241.9,0,0.0,0,0.0,0,0.0,0,0.0
17,1985,152,6,11,98.60000000000001,20.076666666666668,16.443333333333335,24.09333333333333,602.3000000000001,75.16000000000001,1.38,121.4,441.51000000000005,1,1,1,1,0,0,0,0.0,0,0.0,29,587.6,16,350.5,2,52.099999999999994,0,0.0,0,0.0,0,0.0
