,year,doy,month,rainy_day,total_rain,tavg,tmin_avg,tmax_avg,tavg_10_30_between_sum,humid_avg,wind_avg,sunhours_sum,radn_sum,rain_more_10,rain_more_30,rain_more_50,rain_more_70,rain_more_90,rain_more_110,tavg_less_5_count,tavg_less_5_sum,tavg_less_10_count,tavg_less_10_sum,tavg_more_15_count,tavg_more_15_sum,tavg_more_20_count,tavg_more_20_sum,tavg_more_25_count,tavg_more_25_sum,tavg_more_30_count,tavg_more_30_sum,tavg_more_35_count,tavg_more_35_sum,tavg_more_40_count,tavg_more_40_sum
0,1984,1,1,5,10.7,-5.864516129032258,-9.500000000000002,-1.7483870967741935,0.0,52.864516129032246,2.0612903225806454,170.70000000000002,214.48000000000002,0,0,0,0,0,0,31,-181.79999999999998,31,-181.79999999999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,1984,32,2,7,14.9,-3.53448275862069,-7.351724137931033,1.2758620689655173,0.0,50.04137931034482,2.8827586206896556,205.60000000000002,299.59,0,0,0,0,0,0,29,-102.50000000000001,29,-102.50000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,1984,61,3,9,11.4,2.480645161290323,-1.270967741935484,7.264516129032256,0.0,54.97419354838709,3.264516129032258,213.69999999999996,388.83000000000004,0,0,0,0,0,0,26,39.2,31,76.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,1984,92,4,9,41.8,12.103333333333332,7.376666666666666,17.906666666666663,328.79999999999995,60.53999999999999,2.786666666666666,204.1,421.35,1,0,0,0,0,0,1,3.7,5,34.3,4,64.39999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,1984,122,5,5,35.2,18.23548387096774,13.451612903225804,24.006451612903216,565.3,64.22258064516129,2.6870967741935483,271.09999999999997,542.33,2,0,0,0,0,0,0,0.0,0,0.0,27,511.0,10,205.39999999999998,0,0.0,0,0.0,0,0.0,0,0.0
5,1984,153,6,12,105.5,22.63,18.4,27.673333333333336,678.9,70.61666666666666,2.476666666666667,199.29999999999998,435.05,4,1,0,0,0,0,0,0.0,0,0.0,30,678.9,27,621.0,4,106.0,0,0.0,0,0.0,0,0.0
6,1984,183,7,16,269.9,25.225806451612907,21.98064516129032,29.490322580645163,782.0000000000001,80.46451612903228,2.4193548387096775,163.59999999999997,390.8,7,2,2,1,1,0,0,0.0,0,0.0,31,782.0000000000001,31,782.0000000000001,19,502.0999999999999,0,0.0,0,0.0,0,0.0
7,1984,214,8,14,330.9,26.30322580645161,23.2741935483871,30.53225806451613,815.4,79.28064516129032,2.2580645161290325,151.4,363.10400000000004,9,4,2,2,1,0,0,0.0,0,0.0,31,815.4,31,815.4,23,624.6999999999999,0,0.0,0,0.0,0,0.0
8,1984,245,9,9,348.09999999999997,20.086666666666666,16.26,25.043333333333337,602.6,74.80666666666667,2.1066666666666665,187.9,420.98,3,2,1,1,1,1,0,0.0,0,0.0,30,602.6,15,319.2,0,0.0,0,0.0,0,0.0,0,0.0
9,1984,275,10,7,21.4,13.83225806451613,8.993548387096773,19.5483870967742,384.6,66.5258064516129,2.4161290322580644,243.1,419.58,1,0,0,0,0,0,0,0.0,6,44.2,16,264.7,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0
10,1984,306,11,8,35.5,8.100000000000001,4.1033333333333335,12.930000000000001,128.1,68.89666666666668,2.19,159.2,244.41,1,0,0,0,0,0,8,25.0,20,114.89999999999999,2,30.799999999999997,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
11,1984,336,12,10,24.200000000000003,-0.87741935483871,-4.174193548387097,3.4967741935483874,0.0,67.09032258064516,2.52258064516129,167.40000000000003,222.85000000000002,1,0,0,0,0,0,25,-67.5,31,-27.20000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
12,1985,1,1,8,31.2,-5.867741935483871,-9.774193548387098,-1.206451612903226,0.0,62.490322580645156,2.5290322580645164,189.29999999999998,282.57,2,0,0,0,0,0,31,-181.9,31,-181.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
13,1985,32,2,8,25.9,-0.3071428571428572,-3.8928571428571432,4.167857142857143,0.0,68.85357142857143,2.8035714285714284,142.09999999999997,284.76,0,0,0,0,0,0,27,-14.300000000000002,28,-8.600000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
14,1985,60,3,4,57.8,4.338709677419354,0.3612903225806452,9.506451612903227,21.7,59.46129032258064,2.858064516129032,221.9,436.15999999999997,1,1,0,0,0,0,18,34.0,29,112.79999999999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
15,1985,91,4,8,69.0,11.626666666666665,6.473333333333333,17.80333333333333,288.09999999999997,61.35666666666667,2.913333333333333,213.39999999999998,480.46000000000004,3,1,0,0,0,0,1,4.4,8,60.7,4,65.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
16,1985,121,5,9,177.4,18.112903225806452,13.325806451612904,23.609677419354842,561.5,66.43870967741935,2.4,215.6,525.4599999999999,5,3,0,0,0,0,0,0.0,0,0.0,26,493.49999999999994,9,187.6,0,0.0,0,0.0,0,0.0,0,0.0
17,1985,152,6,8,85.4,22.063333333333333,17.956666666666667,27.299999999999997,661.9,70.47999999999999,2.1899999999999995,200.39999999999998,529.7200000000001,2,2,0,0,0,0,0,0.0,0,0.0,30,661.9,25,566.6,3,75.7,0,0.0,0,0.0,0,0.0
18,1985,182,7,14,185.20000000000002,25.299999999999997,22.070967741935487,29.23548387096774,784.3,81.13225806451614,2.3741935483870966,158.4,445.81,5,1,1,1,0,0,0,0.0,0,0.0,31,784.3,31,784.3,14,383.2,0,0.0,0,0.0,0,0.0
19,1985,213,8,18,438.9,26.32903225806452,23.10322580645161,30.435483870967747,816.2,80.20967741935485,2.1806451612903226,149.3,425.71,8,5,4,2,1,1,0,0.0,0,0.0,31,816.2,31,816.2,24,651.6999999999999,0,0.0,0,0.0,0,0.0
20,1985,244,9,14,171.70000000000002,20.17666666666666,17.283333333333335,23.87666666666667,605.2999999999997,78.41333333333336,2.0966666666666667,119.1,333.86,5,1,1,0,0,0,0,0.0,0,0.0,29,590.9999999999998,13,300.99999999999994,3,76.0,0,0.0,0,0.0,0,0.0
21,1985,274,10,6,177.79999999999998,14.680645161290325,10.53225806451613,19.60645161290323,445.80000000000007,73.22903225806452,2.0806451612903225,193.40000000000003,345.94000000000005,3,3,3,0,0,0,0,0.0,2,19.3,15,252.4,1,20.5,0,0.0,0,0.0,0,0.0,0,0.0
22,1985,305,11,18,82.39999999999999,5.63,2.140000000000001,9.546666666666669,65.89999999999999,72.56333333333333,2.526666666666667,133.70000000000002,228.57999999999998,3,0,0,0,0,0,16,28.3,25,103.0,1,15.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
23,1985,335,12,9,41.9,-3.4032258064516134,-6.935483870967741,0.4064516129032258,0.0,67.30967741935484,2.5999999999999996,182.4,231.81999999999996,1,0,0,0,0,0,31,-105.50000000000001,31,-105.50000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
