,year,doy,month,rainy_day,total_rain,tavg,tmin_avg,tmax_avg,tavg_10_30_between_sum,humid_avg,wind_avg,sunhours_sum,radn_sum,rain_more_10,rain_more_30,rain_more_50,rain_more_70,rain_more_90,rain_more_110,tavg_less_5_count,tavg_less_5_sum,tavg_less_10_count,tavg_less_10_sum,tavg_more_15_count,tavg_more_15_sum,tavg_more_20_count,tavg_more_20_sum,tavg_more_25_count,tavg_more_25_sum,tavg_more_30_count,tavg_more_30_sum,tavg_more_35_count,tavg_more_35_sum,tavg_more_40_count,tavg_more_40_sum
0,1984,1,1,0,0.0,-0.8225806451612905,-5.267741935483872,4.606451612903226,0.0,39.235483870967734,3.1064516129032267,222.3,302.55000000000007,0,0,0,0,0,0,31,-25.500000000000004,31,-25.500000000000004,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,1984,32,2,4,18.2,0.5586206896551725,-4.255172413793104,5.855172413793104,0.0,44.172413793103445,3.079310344827586,198.9,336.59999999999997,0,0,0,0,0,0,26,-1.399999999999999,29,16.200000000000003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,1984,61,3,6,38.99999999999999,5.312903225806451,0.2516129032258066,10.516129032258062,35.400000000000006,51.84838709677418,3.219354838709677,221.29999999999998,463.00999999999993,2,0,0,0,0,0,15,40.39999999999999,28,129.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,1984,92,4,11,130.5,11.376666666666665,7.120000000000001,16.09,232.49999999999997,72.97333333333333,3.2933333333333326,157.39999999999998,430.28000000000003,4,1,1,0,0,0,0,0.0,13,108.79999999999998,5,84.60000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,1984,122,5,5,36.60000000000001,17.222580645161294,11.822580645161292,22.82258064516129,533.9000000000001,68.23225806451612,2.741935483870967,274.9,635.99,1,1,0,0,0,0,0,0.0,0,0.0,22,413.20000000000005,8,173.70000000000002,0,0.0,0,0.0,0,0.0,0,0.0
5,1984,153,6,11,141.59999999999997,20.943333333333335,17.583333333333332,25.19666666666667,628.3000000000001,79.35666666666665,2.643333333333333,178.0,493.78000000000003,3,1,1,0,0,0,0,0.0,0,0.0,30,628.3000000000001,16,361.2,1,25.1,0,0.0,0,0.0,0,0.0
6,1984,183,7,12,196.4,24.438709677419357,21.27096774193548,28.506451612903223,727.3,85.09354838709679,2.851612903225806,175.0,512.8000000000001,7,2,1,0,0,0,0,0.0,0,0.0,31,757.6,29,719.1,14,377.09999999999997,1,30.3,0,0.0,0,0.0
7,1984,214,8,10,187.79999999999998,27.299999999999997,24.14838709677419,31.425806451612907,693.4,81.62903225806454,3.0096774193548392,203.39999999999998,516.7,5,2,2,1,0,0,0,0.0,0,0.0,31,846.3,31,846.3,27,752.9999999999999,5,152.89999999999998,0,0.0,0,0.0
8,1984,245,9,12,183.1,20.79,17.1,25.003333333333334,623.6999999999999,79.63333333333335,2.7066666666666674,137.90000000000003,375.43000000000006,4,2,1,1,1,0,0,0.0,0,0.0,30,623.6999999999999,21,451.7,1,28.0,0,0.0,0,0.0,0,0.0
9,1984,275,10,5,16.1,15.377419354838711,10.058064516129033,20.77096774193548,467.70000000000005,61.48064516129032,2.903225806451613,233.1,422.78999999999996,1,0,0,0,0,0,0,0.0,1,9.0,21,355.90000000000003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
