,year,doy,month,rainy_day,total_rain,tavg,tmin_avg,tmax_avg,tavg_10_30_between_sum,humid_avg,wind_avg,sunhours_sum,radn_sum,rain_more_10,rain_more_30,rain_more_50,rain_more_70,rain_more_90,rain_more_110,tavg_less_5_count,tavg_less_5_sum,tavg_less_10_count,tavg_less_10_sum,tavg_more_15_count,tavg_more_15_sum,tavg_more_20_count,tavg_more_20_sum,tavg_more_25_count,tavg_more_25_sum,tavg_more_30_count,tavg_more_30_sum,tavg_more_35_count,tavg_more_35_sum,tavg_more_40_count,tavg_more_40_sum
0,1984,1,1,9,15.3,-2.5806451612903225,-5.764516129032257,1.464516129032258,0.0,66.1774193548387,3.72258064516129,168.5,223.29600000000002,0,0,0,0,0,0,31,-80.0,31,-80.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,1984,32,2,7,11.200000000000001,-1.8413793103448273,-5.2137931034482765,1.9482758620689655,0.0,67.86206896551724,4.479310344827588,189.70000000000002,228.71100000000004,0,0,0,0,0,0,29,-53.39999999999999,29,-53.39999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,1984,61,3,12,13.399999999999999,3.2483870967741937,-0.4451612903225806,7.632258064516129,21.8,69.19032258064516,4.63548387096774,202.00000000000003,245.79699999999997,0,0,0,0,0,0,27,66.9,29,78.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,1984,92,4,8,101.7,11.456666666666667,6.97,17.366666666666667,274.3,73.2,4.273333333333334,198.70000000000002,239.171,3,1,0,0,0,0,1,4.5,10,79.4,4,70.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,1984,122,5,4,71.4,17.232258064516127,12.974193548387097,22.4258064516129,534.1999999999999,72.37741935483872,3.5612903225806454,242.3,273.248,1,1,1,0,0,0,0,0.0,0,0.0,25,460.59999999999997,6,123.89999999999999,0,0.0,0,0.0,0,0.0,0,0.0
5,1984,153,6,12,148.40000000000003,22.136666666666663,18.626666666666665,26.41666666666667,664.0999999999999,75.71000000000001,3.6133333333333337,189.29999999999998,232.31900000000002,4,2,1,0,0,0,0,0.0,0,0.0,30,664.0999999999999,26,587.8000000000001,1,25.6,0,0.0,0,0.0,0,0.0
6,1984,183,7,14,250.60000000000002,25.109677419354835,22.416129032258066,28.803225806451614,778.3999999999999,87.84516129032261,3.351612903225807,129.2,196.777,6,5,1,0,0,0,0,0.0,0,0.0,31,778.3999999999999,31,778.3999999999999,14,374.80000000000007,0,0.0,0,0.0,0,0.0
7,1984,214,8,13,216.5,26.961290322580645,23.748387096774188,31.13870967741936,835.8,84.10645161290326,3.822580645161291,185.4,232.622,7,2,1,0,0,0,0,0.0,0,0.0,31,835.8,31,835.8,26,715.2,1,30.0,0,0.0,0,0.0
8,1984,245,9,12,185.60000000000002,20.699999999999996,16.98333333333333,25.14666666666666,620.9999999999999,81.1866666666667,3.0799999999999996,164.2,216.17299999999997,4,1,1,1,1,0,0,0.0,0,0.0,30,620.9999999999999,20,429.50000000000006,1,25.8,0,0.0,0,0.0,0,0.0
9,1984,275,10,4,34.7,14.780645161290325,9.929032258064519,19.86451612903226,421.00000000000006,73.04193548387097,3.706451612903226,208.8,250.722,1,0,0,0,0,0,0,0.0,4,37.2,19,314.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10,1984,306,11,3,41.7,9.15,4.673333333333334,14.366666666666669,138.4,74.89,3.31,131.39999999999998,192.667,2,0,0,0,0,0,2,4.4,19,136.09999999999997,1,15.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
11,1984,336,12,15,35.6,1.5645161290322578,-1.5999999999999999,5.596774193548387,0.0,75.43870967741937,3.680645161290323,123.4,190.975,0,0,0,0,0,0,22,-17.4,31,48.49999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
12,1985,1,1,11,18.400000000000002,-2.5935483870967744,-6.480645161290322,1.6161290322580648,0.0,69.82903225806452,3.7516129032258063,176.29999999999998,227.38100000000003,0,0,0,0,0,0,31,-80.4,31,-80.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
13,1985,32,2,11,25.6,1.1892857142857145,-2.2178571428571425,5.242857142857143,0.0,77.02857142857144,4.832142857142856,130.5,183.758,1,0,0,0,0,0,26,22.500000000000004,28,33.300000000000004,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
14,1985,60,3,10,90.5,4.3,0.6354838709677418,8.983870967741934,10.5,74.00000000000001,4.2935483870967746,203.00000000000003,247.495,2,1,0,0,0,0,20,55.300000000000004,30,122.80000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
15,1985,91,4,9,60.7,11.3,6.333333333333332,17.263333333333332,283.00000000000006,72.87000000000002,4.33,217.4,252.881,2,1,0,0,0,0,0,0.0,7,56.0,3,51.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
16,1985,121,5,9,118.4,17.748387096774195,13.564516129032258,22.729032258064517,550.2,76.63225806451614,4.009677419354839,200.09999999999997,245.35600000000002,3,2,0,0,0,0,0,0.0,0,0.0,27,494.99999999999994,4,83.39999999999999,0,0.0,0,0.0,0,0.0,0,0.0
17,1985,152,6,9,93.9,21.263333333333332,17.82,25.966666666666672,637.9,83.01000000000002,3.5266666666666664,191.70000000000002,233.249,3,2,0,0,0,0,0,0.0,0,0.0,30,637.9,23,506.4,0,0.0,0,0.0,0,0.0,0,0.0
18,1985,182,7,14,328.8,25.409677419354836,22.458064516129035,29.183870967741942,787.6999999999999,84.63548387096776,3.235483870967742,180.79999999999998,234.06199999999998,6,4,3,2,1,0,0,0.0,0,0.0,31,787.6999999999999,31,787.6999999999999,16,439.4,0,0.0,0,0.0,0,0.0
19,1985,213,8,11,247.5,26.96451612903226,23.45483870967742,31.322580645161295,835.9,82.0483870967742,3.548387096774193,226.79999999999998,263.67199999999997,5,3,2,1,0,0,0,0.0,0,0.0,31,835.9,31,835.9,26,715.2,0,0.0,0,0.0,0,0.0
20,1985,244,9,16,209.7,21.33,18.043333333333333,25.346666666666668,639.9,80.87333333333335,3.7999999999999994,127.99999999999999,190.071,8,2,0,0,0,0,0,0.0,0,0.0,29,625.1,19,444.6,4,104.9,0,0.0,0,0.0,0,0.0
21,1985,274,10,7,86.3,15.674193548387098,11.738709677419356,20.16774193548387,485.90000000000003,76.78064516129035,3.3935483870967738,159.9,216.78399999999996,3,0,0,0,0,0,0,0.0,0,0.0,18,312.50000000000006,2,41.7,0,0.0,0,0.0,0,0.0,0,0.0
22,1985,305,11,20,136.9,8.033333333333333,4.466666666666667,11.973333333333333,122.60000000000001,76.08333333333333,4.506666666666666,114.10000000000001,180.77600000000004,5,0,0,0,0,0,8,27.800000000000004,20,118.4,1,15.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
23,1985,335,12,16,45.9,-0.4064516129032258,-3.9193548387096775,3.9741935483870963,0.0,71.86774193548389,3.938709677419355,158.89999999999998,215.61200000000005,1,0,0,0,0,0,29,-24.399999999999995,31,-12.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
24,1986,1,1,12,20.200000000000003,-2.5354838709677416,-6.422580645161288,1.9999999999999998,0.0,75.50967741935484,3.822580645161291,178.60000000000005,230.305,0,0,0,0,0,0,31,-78.6,31,-78.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
25,1986,32,2,9,13.2,-1.1321428571428571,-4.832142857142857,2.714285714285715,0.0,69.725,4.428571428571429,199.09999999999997,231.176,0,0,0,0,0,0,28,-31.7,28,-31.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
26,1986,60,3,8,48.0,5.235483870967743,1.6193548387096774,9.616129032258065,10.0,76.43870967741938,4.451612903225805,210.00000000000003,251.09299999999996,2,0,0,0,0,0,13,41.00000000000001,31,162.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
27,1986,91,4,6,28.3,11.049999999999999,6.953333333333333,16.166666666666668,237.20000000000002,69.39666666666668,4.246666666666666,226.70000000000002,258.52500000000003,1,0,0,0,0,0,0,0.0,12,104.30000000000001,2,33.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
28,1986,121,5,7,160.8,16.061290322580643,12.199999999999998,21.222580645161287,497.8999999999999,75.96451612903228,4.103225806451612,243.79999999999995,274.62800000000004,4,2,2,0,0,0,0,0.0,0,0.0,19,336.0,1,20.2,0,0.0,0,0.0,0,0.0,0,0.0
29,1986,152,6,9,189.5,21.326666666666664,18.15666666666667,25.71,639.8,81.51,3.5500000000000003,171.20000000000005,218.70999999999995,7,3,0,0,0,0,0,0.0,0,0.0,30,639.8,22,487.00000000000006,1,25.5,0,0.0,0,0.0,0,0.0
30,1986,182,7,17,264.5,23.438709677419357,20.806451612903228,27.41290322580645,726.6,85.98709677419356,3.325806451612903,158.69999999999996,216.23000000000005,8,3,1,0,0,0,0,0.0,0,0.0,31,726.6,28,667.8999999999999,8,213.7,0,0.0,0,0.0,0,0.0
31,1986,213,8,8,187.9,25.387096774193555,21.983870967741932,29.88387096774193,787.0000000000002,83.03225806451614,3.97741935483871,205.99999999999997,247.91099999999994,4,1,1,1,1,1,0,0.0,0,0.0,31,787.0000000000002,31,787.0000000000002,19,501.0,0,0.0,0,0.0,0,0.0
32,1986,244,9,7,143.0,19.663333333333338,16.179999999999996,24.32,589.9000000000001,81.45000000000002,3.55,162.3,214.90599999999998,4,2,0,0,0,0,0,0.0,0,0.0,30,589.9000000000001,15,323.6,0,0.0,0,0.0,0,0.0,0,0.0
33,1986,274,10,9,59.5,13.60967741935484,9.790322580645162,18.909677419354836,391.90000000000003,75.32903225806454,3.4419354838709677,196.4,242.25499999999997,3,0,0,0,0,0,0,0.0,4,30.0,12,196.49999999999997,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
34,1986,305,11,5,32.7,7.403333333333333,3.6333333333333333,12.26,77.6,65.56333333333333,3.733333333333334,164.7,215.25,2,0,0,0,0,0,8,22.5,23,144.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
35,1986,335,12,9,58.3,3.7419354838709675,0.4935483870967743,7.532258064516129,0.0,74.61612903225809,3.9258064516129036,129.00000000000003,194.41300000000004,2,0,0,0,0,0,19,40.8,31,116.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
36,1987,1,1,8,65.0,-0.18387096774193548,-3.458064516129032,3.5451612903225804,0.0,65.79354838709678,4.564516129032258,170.70000000000002,225.17899999999997,2,0,0,0,0,0,30,-10.999999999999998,31,-5.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
37,1987,32,2,7,47.8,1.542857142857143,-1.832142857142857,5.442857142857143,11.3,69.68928571428572,4.885714285714286,169.3,211.00599999999997,2,0,0,0,0,0,24,8.900000000000002,27,31.900000000000006,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
38,1987,60,3,9,33.2,4.312903225806451,0.8548387096774194,8.735483870967741,10.4,70.06451612903226,4.9387096774193555,187.2,235.623,1,0,0,0,0,0,16,37.8,30,123.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39,1987,91,4,7,67.69999999999999,9.986666666666668,6.013333333333334,15.24666666666667,217.10000000000002,70.50333333333332,4.09,180.4,226.78600000000003,2,1,0,0,0,0,2,8.8,12,82.5,1,18.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
40,1987,121,5,10,52.3,15.91935483870968,11.974193548387097,20.93870967741935,493.50000000000006,76.46129032258065,3.9258064516129023,237.6,270.319,3,0,0,0,0,0,0,0.0,0,0.0,20,349.90000000000003,2,43.1,0,0.0,0,0.0,0,0.0,0,0.0
41,1987,152,6,6,126.6,21.269999999999996,17.790000000000003,25.986666666666665,638.0999999999999,78.55333333333334,3.566666666666667,213.30000000000004,249.941,3,1,1,0,0,0,0,0.0,0,0.0,30,638.0999999999999,24,525.3,1,25.2,0,0.0,0,0.0,0,0.0
42,1987,182,7,15,569.0000000000001,23.383870967741935,20.85161290322581,26.8,724.9,85.36451612903228,3.4645161290322584,91.89999999999999,169.05600000000004,7,6,3,2,2,1,0,0.0,0,0.0,31,724.9,31,724.9,6,154.79999999999998,0,0.0,0,0.0,0,0.0
43,1987,213,8,15,611.4999999999999,24.645161290322577,21.93548387096774,28.638709677419357,763.9999999999999,85.20967741935485,3.4806451612903224,127.69999999999997,193.625,9,7,3,3,2,1,0,0.0,0,0.0,31,763.9999999999999,31,763.9999999999999,14,357.6,0,0.0,0,0.0,0,0.0
44,1987,244,9,5,30.1,19.779999999999994,15.946666666666664,24.380000000000003,593.3999999999999,76.22000000000001,4.3,221.8,255.95699999999997,1,0,0,0,0,0,0,0.0,0,0.0,30,593.3999999999999,19,398.1,0,0.0,0,0.0,0,0.0,0,0.0
