,year,doy,month,rainy_day,total_rain,tavg,tmin_avg,tmax_avg,tavg_10_30_between_sum,humid_avg,wind_avg,sunhours_sum,radn_sum,rain_more_10,rain_more_30,rain_more_50,rain_more_70,rain_more_90,rain_more_110,tavg_less_5_count,tavg_less_5_sum,tavg_less_10_count,tavg_less_10_sum,tavg_more_15_count,tavg_more_15_sum,tavg_more_20_count,tavg_more_20_sum,tavg_more_25_count,tavg_more_25_sum,tavg_more_30_count,tavg_more_30_sum,tavg_more_35_count,tavg_more_35_sum,tavg_more_40_count,tavg_more_40_sum
0,1984,1,1,7,8.7,-3.2838709677419358,-7.75483870967742,1.9774193548387098,0.0,68.3967741935484,1.5483870967741933,168.50000000000003,255.77999999999997,0,0,0,0,0,0,31,-101.80000000000001,31,-101.80000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,1984,32,2,6,17.7,-2.0965517241379312,-6.958620689655173,3.8206896551724143,0.0,68.77586206896551,1.5862068965517242,176.30000000000004,298.29999999999995,0,0,0,0,0,0,28,-66.4,29,-60.800000000000004,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,1984,61,3,15,22.6,3.7645161290322577,-1.2870967741935484,9.64516129032258,26.7,68.6548387096774,1.854838709677419,199.40000000000003,405.7,0,0,0,0,0,0,19,30.3,29,90.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,1984,92,4,12,175.9,12.890000000000002,7.103333333333333,19.34333333333333,328.90000000000003,69.00666666666666,1.6900000000000002,203.39999999999998,464.82,4,1,1,1,1,0,0,0.0,7,57.8,9,154.3,2,40.7,0,0.0,0,0.0,0,0.0,0,0.0
4,1984,122,5,5,98.9,18.225806451612904,12.19032258064516,24.99677419354838,565.0,68.76774193548388,1.5516129032258066,260.0,588.65,2,2,1,0,0,0,0,0.0,0,0.0,26,498.29999999999995,9,192.39999999999998,0,0.0,0,0.0,0,0.0,0,0.0
5,1984,153,6,13,152.6,22.993333333333336,18.566666666666666,28.220000000000006,689.8000000000001,75.29,1.583333333333333,192.00000000000003,515.4799999999999,4,1,1,1,0,0,0,0.0,0,0.0,30,689.8000000000001,27,633.3000000000001,5,128.2,0,0.0,0,0.0,0,0.0
6,1984,183,7,13,426.0,25.980645161290322,22.490322580645163,30.14516129032258,805.4,78.29354838709679,1.596774193548387,147.6,446.96,6,5,3,2,2,2,0,0.0,0,0.0,31,805.4,31,805.4,23,617.5,1,30.0,0,0.0,0,0.0
7,1984,214,8,17,145.8,27.4741935483871,23.4741935483871,32.54838709677419,851.7,76.5,1.5903225806451613,206.6,531.2599999999999,5,1,0,0,0,0,0,0.0,0,0.0,31,851.7,31,851.7,28,778.3000000000001,0,0.0,0,0.0,0,0.0
8,1984,245,9,13,314.59999999999997,20.510000000000005,16.093333333333334,25.936666666666667,615.3000000000002,77.64000000000003,1.34,168.5,400.41999999999996,5,4,1,1,1,1,0,0.0,0,0.0,30,615.3000000000002,15,328.8,1,26.3,0,0.0,0,0.0,0,0.0
9,1984,275,10,6,60.99999999999999,14.05483870967742,8.158064516129034,20.751612903225805,394.6,71.0225806451613,1.3741935483870966,242.50000000000003,422.61,1,1,1,0,0,0,0,0.0,5,41.099999999999994,14,230.99999999999997,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
