,year,doy,month,rainy_day,total_rain,tavg,tmin_avg,tmax_avg,tavg_10_30_between_sum,humid_avg,wind_avg,sunhours_sum,radn_sum,rain_more_10,rain_more_30,rain_more_50,rain_more_70,rain_more_90,rain_more_110,tavg_less_5_count,tavg_less_5_sum,tavg_less_10_count,tavg_less_10_sum,tavg_more_15_count,tavg_more_15_sum,tavg_more_20_count,tavg_more_20_sum,tavg_more_25_count,tavg_more_25_sum,tavg_more_30_count,tavg_more_30_sum,tavg_more_35_count,tavg_more_35_sum,tavg_more_40_count,tavg_more_40_sum
0,1984,1,1,0,0.0,-0.9161290322580646,-5.506451612903226,4.867741935483871,0.0,47.496774193548376,2.7483870967741932,228.9,267.73400000000004,0,0,0,0,0,0,31,-28.400000000000002,31,-28.400000000000002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,1984,32,2,4,14.099999999999998,0.6448275862068966,-4.006896551724138,5.8275862068965525,0.0,52.599999999999994,2.813793103448276,202.79999999999998,240.30399999999997,0,0,0,0,0,0,26,1.3999999999999988,29,18.700000000000003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,1984,61,3,5,10.7,5.525806451612902,0.535483870967742,10.951612903225804,25.0,55.18387096774193,2.52258064516129,221.39999999999995,261.84200000000004,0,0,0,0,0,0,14,40.400000000000006,29,146.29999999999995,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,1984,92,4,8,111.7,11.956666666666665,6.786666666666667,17.093333333333337,264.20000000000005,72.27666666666667,1.8900000000000001,171.60000000000002,223.42600000000004,4,2,0,0,0,0,0,0.0,11,94.49999999999999,8,134.5,1,21.0,0,0.0,0,0.0,0,0.0,0,0.0
4,1984,122,5,5,69.50000000000001,17.032258064516128,10.970967741935484,23.37096774193548,528.0,69.24516129032257,1.967741935483871,266.5,294.13699999999994,1,1,1,0,0,0,0,0.0,0,0.0,23,419.0,7,146.5,0,0.0,0,0.0,0,0.0,0,0.0
5,1984,153,6,12,195.39999999999998,21.826666666666668,17.673333333333336,26.336666666666666,654.8000000000001,79.33333333333333,1.8900000000000001,173.2,224.24199999999996,5,3,2,0,0,0,0,0.0,0,0.0,30,654.8000000000001,28,617.8000000000001,0,0.0,0,0.0,0,0.0,0,0.0
6,1984,183,7,10,238.60000000000002,25.37741935483871,21.977419354838705,29.4741935483871,786.7,82.50322580645162,1.9967741935483871,182.60000000000002,235.80899999999997,5,2,2,2,1,0,0,0.0,0,0.0,31,786.7,31,786.7,18,488.20000000000005,0,0.0,0,0.0,0,0.0
7,1984,214,8,13,248.7,27.73225806451613,24.254838709677426,32.20322580645161,768.9000000000001,80.40322580645163,1.9096774193548385,207.20000000000002,251.21,5,2,2,2,1,0,0,0.0,0,0.0,31,859.7,31,859.7,29,812.9000000000001,3,90.80000000000001,0,0.0,0,0.0
8,1984,245,9,12,321.70000000000005,21.09333333333333,17.026666666666667,25.636666666666667,632.8,80.79333333333334,1.666666666666667,132.1,196.577,4,2,1,1,1,1,0,0.0,0,0.0,30,632.8,24,518.6,2,53.7,0,0.0,0,0.0,0,0.0
9,1984,275,10,4,18.5,15.238709677419354,9.690322580645162,21.103225806451608,452.79999999999995,65.19032258064516,2.2387096774193544,241.20000000000002,277.06300000000005,0,0,0,0,0,0,0,0.0,2,19.6,21,349.5,1,20.1,0,0.0,0,0.0,0,0.0,0,0.0
