,year,doy,month,rainy_day,total_rain,tavg,tmin_avg,tmax_avg,tavg_10_30_between_sum,humid_avg,wind_avg,sunhours_sum,radn_sum,rain_more_10,rain_more_30,rain_more_50,rain_more_70,rain_more_90,rain_more_110,tavg_less_5_count,tavg_less_5_sum,tavg_less_10_count,tavg_less_10_sum,tavg_more_15_count,tavg_more_15_sum,tavg_more_20_count,tavg_more_20_sum,tavg_more_25_count,tavg_more_25_sum,tavg_more_30_count,tavg_more_30_sum,tavg_more_35_count,tavg_more_35_sum,tavg_more_40_count,tavg_more_40_sum
0,1984,1,1,17,22.200000000000003,3.1000000000000005,0.9838709677419356,5.529032258064516,0.0,67.56129032258065,5.322580645161289,68.8,191.27,0,0,0,0,0,0,24,48.2,31,96.10000000000002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,1984,32,2,11,26.2,3.2068965517241375,0.7000000000000001,5.882758620689655,0.0,69.43793103448276,5.082758620689655,98.60000000000001,233.54999999999998,1,0,0,0,0,0,21,40.599999999999994,29,92.99999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,1984,61,3,9,43.3,6.780645161290323,3.6774193548387104,10.154838709677417,44.49999999999999,61.97419354838709,4.109677419354838,185.59999999999997,437.96,2,0,0,0,0,0,10,40.1,27,165.70000000000002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,1984,92,4,11,84.7,13.006666666666668,9.44,16.83,363.90000000000003,75.32000000000001,3.86,192.1,490.99000000000007,3,0,0,0,0,0,0,0.0,4,36.3,8,134.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,1984,122,5,8,35.099999999999994,16.951612903225808,13.454838709677418,20.4,525.5,74.68709677419355,2.941935483870967,234.3,611.5199999999999,1,0,0,0,0,0,0,0.0,0,0.0,26,460.70000000000005,3,60.7,0,0.0,0,0.0,0,0.0,0,0.0
5,1984,153,6,12,179.5,21.796666666666674,18.729999999999997,25.256666666666668,653.9000000000002,83.30333333333336,3.526666666666667,153.2,498.25000000000006,7,1,0,0,0,0,0,0.0,0,0.0,30,653.9000000000002,25,556.5,2,52.2,0,0.0,0,0.0,0,0.0
6,1984,183,7,9,86.3,26.335483870967746,23.583870967741937,29.66774193548387,816.4000000000001,81.31290322580648,3.6354838709677426,219.0,611.03,2,1,0,0,0,0,0,0.0,0,0.0,31,816.4000000000001,31,816.4000000000001,23,622.5000000000001,0,0.0,0,0.0,0,0.0
7,1984,214,8,14,187.20000000000002,27.01935483870968,24.28064516129032,30.061290322580643,837.6000000000001,81.96129032258065,3.1580645161290324,208.2,548.76,5,2,1,1,0,0,0,0.0,0,0.0,31,837.6000000000001,31,837.6000000000001,30,814.1,0,0.0,0,0.0,0,0.0
8,1984,245,9,8,72.49999999999999,22.530000000000005,19.13,25.653333333333332,675.9000000000001,73.26333333333335,3.4866666666666664,176.20000000000002,443.78999999999996,2,1,0,0,0,0,0,0.0,0,0.0,30,675.9000000000001,29,656.3000000000001,2,59.0,0,0.0,0,0.0,0,0.0
9,1984,275,10,5,28.4,17.200000000000003,14.025806451612903,20.64193548387097,533.2,67.50967741935483,4.009677419354839,215.7,414.55,1,0,0,0,0,0,0,0.0,0,0.0,25,452.9,1,23.2,0,0.0,0,0.0,0,0.0,0,0.0
10,1984,306,11,5,36.3,12.92,9.743333333333334,16.493333333333336,344.6,68.03333333333333,3.3666666666666667,150.20000000000002,257.49,1,0,0,0,0,0,0,0.0,6,53.0,7,119.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
11,1984,336,12,14,76.80000000000001,7.2548387096774185,4.732258064516129,9.803225806451612,116.69999999999999,68.62580645161289,5.193548387096773,70.6,140.60999999999999,2,0,0,0,0,0,11,34.0,21,108.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
12,1985,1,1,10,31.499999999999996,3.693548387096773,1.1870967741935483,6.793548387096774,0.0,65.26774193548387,5.0290322580645155,98.3,184.58,1,0,0,0,0,0,23,63.0,31,114.49999999999997,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
13,1985,32,2,14,164.1,6.185714285714285,3.6321428571428562,8.735714285714284,21.5,70.02857142857142,5.303571428571429,75.5,164.6,4,2,1,0,0,0,10,30.400000000000002,26,151.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
14,1985,60,3,12,141.29999999999998,8.070967741935485,5.035483870967742,11.261290322580644,81.7,68.94516129032259,3.916129032258065,152.39999999999998,345.08000000000004,6,0,0,0,0,0,5,20.9,25,178.5,1,15.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
15,1985,91,4,11,149.3,13.21,9.15,17.206666666666667,371.5,68.66000000000001,3.4299999999999997,191.29999999999998,471.01000000000005,4,2,1,0,0,0,0,0.0,4,34.8,8,130.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
16,1985,121,5,10,78.10000000000001,18.183870967741935,14.741935483870966,21.877419354838707,563.7,73.22580645161291,3.912903225806451,180.6,518.32,4,0,0,0,0,0,0,0.0,0,0.0,29,536.1999999999999,6,131.39999999999998,0,0.0,0,0.0,0,0.0,0,0.0
17,1985,152,6,11,693.9,21.206666666666663,18.58,24.48666666666666,636.1999999999999,77.01000000000002,3.4266666666666667,161.2,481.78,7,6,4,3,3,3,0,0.0,0,0.0,30,636.1999999999999,22,484.00000000000006,1,25.6,0,0.0,0,0.0,0,0.0
18,1985,182,7,10,259.8,26.967741935483872,23.880645161290328,30.183870967741928,805.3,73.71612903225807,3.3870967741935485,238.49999999999997,626.32,4,3,2,2,1,0,0,0.0,0,0.0,31,836.0,31,836.0,26,715.7,1,30.7,0,0.0,0,0.0
19,1985,213,8,12,279.29999999999995,27.125806451612902,24.49677419354839,30.051612903225802,840.9,75.60967741935485,3.7967741935483867,207.8,557.11,7,4,2,1,0,0,0,0.0,0,0.0,31,840.9,31,840.9,31,840.9,0,0.0,0,0.0,0,0.0
20,1985,244,9,12,104.8,24.14666666666667,21.086666666666662,27.24,724.4000000000001,71.75,3.0833333333333335,194.1,458.59999999999997,2,1,0,0,0,0,0,0.0,0,0.0,30,724.4000000000001,29,704.7,16,421.1,0,0.0,0,0.0,0,0.0
21,1985,274,10,12,421.40000000000003,18.083870967741937,15.17741935483871,21.26129032258065,560.6,69.37741935483871,3.7516129032258063,143.8,325.46000000000004,5,3,3,2,2,1,0,0.0,0,0.0,30,546.4,6,129.5,0,0.0,0,0.0,0,0.0,0,0.0
