,year,doy,month,rainy_day,total_rain,tavg,tmin_avg,tmax_avg,tavg_10_30_between_sum,humid_avg,wind_avg,sunhours_sum,radn_sum,rain_more_10,rain_more_30,rain_more_50,rain_more_70,rain_more_90,rain_more_110,tavg_less_5_count,tavg_less_5_sum,tavg_less_10_count,tavg_less_10_sum,tavg_more_15_count,tavg_more_15_sum,tavg_more_20_count,tavg_more_20_sum,tavg_more_25_count,tavg_more_25_sum,tavg_more_30_count,tavg_more_30_sum,tavg_more_35_count,tavg_more_35_sum,tavg_more_40_count,tavg_more_40_sum
0,1984,1,1,8,23.499999999999996,3.803225806451613,0.7967741935483869,8.109677419354838,0.0,63.84516129032257,2.8741935483870966,150.99999999999997,227.412,0,0,0,0,0,0,23,62.599999999999994,31,117.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,1984,32,2,11,31.999999999999996,4.462068965517242,1.1551724137931032,8.586206896551722,0.0,63.893103448275866,3.3275862068965516,157.29999999999998,223.79700000000003,1,0,0,0,0,0,15,29.800000000000004,29,129.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,1984,61,3,10,47.5,8.058064516129033,4.219354838709678,12.203225806451615,93.3,58.68387096774193,3.383870967741936,197.60000000000002,261.9360000000001,2,0,0,0,0,0,3,10.1,23,156.5,1,15.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,1984,92,4,11,141.0,13.909999999999998,10.609999999999998,17.326666666666664,417.29999999999995,70.30666666666666,3.816666666666667,175.39999999999998,241.42700000000005,4,1,1,0,0,0,0,0.0,0,0.0,11,181.59999999999997,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,1984,122,5,8,70.7,17.716129032258067,14.061290322580648,21.080645161290324,549.2,67.13870967741936,2.774193548387097,225.3,281.81700000000006,2,1,0,0,0,0,0,0.0,0,0.0,26,479.0,7,145.5,0,0.0,0,0.0,0,0.0,0,0.0
5,1984,153,6,17,254.70000000000005,21.713333333333328,19.280000000000005,24.319999999999997,651.3999999999999,80.35333333333334,2.9733333333333336,112.10000000000001,193.87,8,2,1,0,0,0,0,0.0,0,0.0,30,651.3999999999999,29,632.9999999999999,0,0.0,0,0.0,0,0.0,0,0.0
6,1984,183,7,8,158.5,26.19677419354839,23.80322580645161,29.37741935483871,812.1,81.30322580645164,2.9967741935483874,164.6,239.02100000000002,3,2,1,1,0,0,0,0.0,0,0.0,31,812.1,31,812.1,27,715.4999999999999,0,0.0,0,0.0,0,0.0
7,1984,214,8,13,148.39999999999998,27.22258064516129,24.616129032258062,30.106451612903225,843.9,78.85806451612905,3.2322580645161287,199.4,262.899,4,2,0,0,0,0,0,0.0,0,0.0,31,843.9,31,843.9,31,843.9,0,0.0,0,0.0,0,0.0
8,1984,245,9,6,155.10000000000002,22.876666666666665,19.480000000000004,26.86666666666667,686.3,70.43333333333335,3.063333333333333,167.70000000000002,237.00600000000003,2,1,1,1,1,1,0,0.0,0,0.0,30,686.3,30,686.3,3,78.6,0,0.0,0,0.0,0,0.0
9,1984,275,10,4,5.2,18.051612903225802,13.996774193548383,22.764516129032263,559.5999999999999,61.83870967741935,3.6354838709677413,227.4,285.195,0,0,0,0,0,0,0,0.0,0,0.0,28,521.4,3,65.0,0,0.0,0,0.0,0,0.0,0,0.0
10,1984,306,11,4,45.3,14.453333333333331,10.610000000000003,19.18,414.29999999999995,66.39,2.9733333333333336,183.3,247.654,2,0,0,0,0,0,0,0.0,2,19.299999999999997,12,209.99999999999994,1,20.7,0,0.0,0,0.0,0,0.0,0,0.0
11,1984,336,12,8,63.9,8.393548387096773,5.093548387096775,12.383870967741936,187.20000000000002,64.89032258064515,3.0,146.2,223.63700000000003,2,1,0,0,0,0,9,24.8,16,73.0,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
12,1985,1,1,6,19.8,4.899999999999999,1.5451612903225804,9.32258064516129,0.0,63.3774193548387,2.851612903225807,148.70000000000005,226.24400000000003,0,0,0,0,0,0,15,43.50000000000001,31,151.89999999999995,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
13,1985,32,2,11,88.4,7.267857142857144,4.210714285714286,10.974999999999998,56.1,65.84285714285714,4.192857142857143,127.1,196.728,3,0,0,0,0,0,5,11.7,23,147.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
14,1985,60,3,10,216.70000000000002,9.993548387096773,6.922580645161289,13.983870967741936,189.5,66.19677419354836,3.070967741935484,141.4,222.18800000000002,5,3,1,1,0,0,0,0.0,15,120.30000000000001,1,15.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
15,1985,91,4,10,213.8,14.33,10.396666666666667,18.09333333333333,420.59999999999997,66.23666666666666,3.266666666666667,189.99999999999997,253.235,6,3,2,1,0,0,0,0.0,1,9.3,10,167.20000000000002,1,20.7,0,0.0,0,0.0,0,0.0,0,0.0
16,1985,121,5,13,281.49999999999994,18.59677419354839,15.603225806451615,21.622580645161296,576.5000000000001,74.83548387096776,3.338709677419355,173.79999999999998,245.45000000000002,6,3,2,2,1,0,0,0.0,0,0.0,31,576.5000000000001,6,124.10000000000002,0,0.0,0,0.0,0,0.0,0,0.0
17,1985,152,6,10,896.2,21.259999999999998,18.703333333333333,24.093333333333337,637.8,77.47666666666669,3.2166666666666663,156.5,225.121,7,7,6,6,6,4,0,0.0,0,0.0,30,637.8,27,582.9,0,0.0,0,0.0,0,0.0,0,0.0
18,1985,182,7,18,551.8000000000001,26.045161290322582,23.74838709677419,28.703225806451613,807.4000000000001,81.72258064516133,2.5612903225806454,179.60000000000002,251.46199999999993,4,4,3,3,2,2,0,0.0,0,0.0,31,807.4000000000001,31,807.4000000000001,22,592.3000000000001,0,0.0,0,0.0,0,0.0
19,1985,213,8,9,392.40000000000003,27.258064516129032,24.700000000000003,30.325806451612905,845.0,77.00000000000001,3.561290322580646,215.0,276.00399999999996,7,3,2,1,1,1,0,0.0,0,0.0,31,845.0,31,845.0,30,820.1999999999999,0,0.0,0,0.0,0,0.0
20,1985,244,9,12,168.60000000000002,24.826666666666668,21.776666666666667,28.276666666666667,744.8000000000001,72.87666666666668,3.086666666666666,189.3,251.01699999999997,5,2,0,0,0,0,0,0.0,0,0.0,30,744.8000000000001,29,725.1,19,506.8,0,0.0,0,0.0,0,0.0
21,1985,274,10,11,299.4000000000001,19.048387096774192,15.7,22.970967741935482,590.5,67.36774193548386,3.1516129032258062,146.29999999999998,223.339,5,2,2,2,2,1,0,0.0,0,0.0,31,590.5,9,195.79999999999998,0,0.0,0,0.0,0,0.0,0,0.0
22,1985,305,11,10,78.30000000000001,12.333333333333332,8.773333333333333,16.416666666666668,311.50000000000006,62.23333333333333,3.1133333333333337,165.2,233.777,3,1,0,0,0,0,0,0.0,7,58.5,4,69.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
23,1985,335,12,12,37.400000000000006,6.941935483870967,3.5032258064516126,10.954838709677418,92.2,63.577419354838696,2.870967741935484,157.4,232.37000000000006,1,0,0,0,0,0,8,21.2,23,123.00000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
24,1986,1,1,7,16.9,5.158064516129032,1.8548387096774193,9.277419354838708,0.0,59.312903225806444,3.387096774193548,172.2,244.04000000000002,0,0,0,0,0,0,15,39.1,31,159.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
25,1986,32,2,6,30.9,4.696428571428571,1.0142857142857145,9.217857142857143,11.7,59.96071428571428,3.1785714285714293,192.9,245.834,1,0,0,0,0,0,19,64.1,27,119.80000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
26,1986,60,3,8,115.5,9.738709677419354,6.0354838709677425,14.051612903225807,172.50000000000003,62.5516129032258,3.2709677419354835,190.60000000000002,256.363,2,1,1,1,0,0,2,4.5,17,139.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
27,1986,91,4,13,211.50000000000003,14.406666666666666,10.749999999999998,18.066666666666663,432.2,64.75333333333333,2.663333333333333,180.3,244.328,5,3,2,0,0,0,0,0.0,0,0.0,11,181.89999999999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
28,1986,121,5,7,111.7,18.52258064516129,14.754838709677417,22.238709677419354,574.2,65.68064516129031,2.570967741935484,211.40000000000003,272.37800000000004,3,1,1,0,0,0,0,0.0,0,0.0,29,544.9,6,125.10000000000001,0,0.0,0,0.0,0,0.0,0,0.0
29,1986,152,6,13,401.3,21.480000000000008,18.473333333333333,24.77666666666666,644.4000000000002,75.76333333333332,2.8200000000000003,131.89999999999998,207.714,9,5,3,2,0,0,0,0.0,0,0.0,30,644.4000000000002,26,567.0000000000001,0,0.0,0,0.0,0,0.0,0,0.0
30,1986,182,7,19,394.09999999999997,24.096774193548388,21.896774193548385,26.86451612903226,747.0,81.09032258064518,2.5645161290322576,83.10000000000001,179.33500000000004,10,6,2,1,0,0,0,0.0,0,0.0,31,747.0,29,708.5,13,348.19999999999993,0,0.0,0,0.0,0,0.0
31,1986,213,8,9,131.7,26.81935483870968,23.425806451612907,30.42258064516129,831.4,72.15806451612904,3.119354838709678,203.09999999999997,266.08299999999997,4,2,0,0,0,0,0,0.0,0,0.0,31,831.4,31,831.4,26,711.1,0,0.0,0,0.0,0,0.0
32,1986,244,9,12,148.1,22.130000000000003,18.883333333333333,25.763333333333332,663.9000000000001,70.05666666666666,2.756666666666667,177.4,244.62800000000001,4,1,1,0,0,0,0,0.0,0,0.0,30,663.9000000000001,26,588.6,1,25.1,0,0.0,0,0.0,0,0.0
33,1986,274,10,6,59.99999999999999,17.258064516129036,13.509677419354839,21.858064516129037,535.0000000000001,62.16451612903225,2.806451612903226,216.8,275.473,2,0,0,0,0,0,0,0.0,0,0.0,27,484.50000000000006,2,40.6,0,0.0,0,0.0,0,0.0,0,0.0
34,1986,305,11,6,24.099999999999998,13.236666666666668,9.746666666666664,17.303333333333335,358.3,62.37333333333333,2.6199999999999997,162.29999999999998,230.90999999999997,1,0,0,0,0,0,0,0.0,5,38.8,9,146.29999999999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
