,year,doy,month,rainy_day,total_rain,tavg,tmin_avg,tmax_avg,tavg_10_30_between_sum,humid_avg,wind_avg,sunhours_sum,radn_sum,rain_more_10,rain_more_30,rain_more_50,rain_more_70,rain_more_90,rain_more_110,tavg_less_5_count,tavg_less_5_sum,tavg_less_10_count,tavg_less_10_sum,tavg_more_15_count,tavg_more_15_sum,tavg_more_20_count,tavg_more_20_sum,tavg_more_25_count,tavg_more_25_sum,tavg_more_30_count,tavg_more_30_sum,tavg_more_35_count,tavg_more_35_sum,tavg_more_40_count,tavg_more_40_sum
0,1984,1,1,0,0.0,-2.7645161290322573,-9.929032258064517,4.838709677419355,0.0,57.26774193548386,2.2548387096774194,221.5,319.15999999999997,0,0,0,0,0,0,31,-85.69999999999997,31,-85.69999999999997,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,1984,32,2,2,4.7,-0.5586206896551724,-7.36551724137931,6.289655172413793,0.0,53.568965517241374,2.5620689655172417,202.1,363.3599999999999,0,0,0,0,0,0,28,-21.500000000000004,29,-16.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,1984,61,3,6,9.3,4.564516129032259,-2.4677419354838714,11.380645161290323,32.7,58.66451612903225,2.7387096774193544,234.2,513.0200000000001,0,0,0,0,0,0,18,41.7,28,108.80000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,1984,92,4,11,145.2,12.303333333333333,6.023333333333334,18.899999999999995,304.7,70.69333333333334,2.3800000000000003,195.3,485.65000000000003,2,1,1,1,0,0,0,0.0,8,64.4,7,115.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,1984,122,5,4,44.300000000000004,17.400000000000002,10.416129032258066,24.787096774193554,539.4000000000001,72.79677419354842,1.7677419354838708,251.40000000000003,650.5600000000001,1,1,0,0,0,0,0,0.0,0,0.0,26,468.9,4,82.2,0,0.0,0,0.0,0,0.0,0,0.0
5,1984,153,6,12,183.20000000000002,21.85333333333333,16.993333333333336,27.383333333333336,655.5999999999999,80.89666666666669,1.9533333333333331,153.79999999999998,490.58,5,2,1,0,0,0,0,0.0,0,0.0,30,655.5999999999999,29,639.3,0,0.0,0,0.0,0,0.0,0,0.0
6,1984,183,7,12,484.79999999999995,25.306451612903224,21.44516129032258,29.480645161290326,784.5,85.2387096774194,2.016129032258065,149.0,506.85,7,5,3,2,2,1,0,0.0,0,0.0,31,784.5,31,784.5,19,503.7,0,0.0,0,0.0,0,0.0
7,1984,214,8,11,270.6,26.68064516129032,22.625806451612906,31.464516129032262,827.1,85.0193548387097,1.7,199.3,555.3599999999999,6,3,2,1,0,0,0,0.0,0,0.0,31,827.1,31,827.1,26,705.6999999999999,0,0.0,0,0.0,0,0.0
8,1984,245,9,11,250.5,20.446666666666665,15.79,26.33,613.4,83.56,1.4566666666666666,147.4,400.90999999999997,6,3,1,1,1,0,0,0.0,0,0.0,30,613.4,17,370.59999999999997,2,53.9,0,0.0,0,0.0,0,0.0
9,1984,275,10,3,25.6,13.609677419354838,6.929032258064517,21.283870967741937,397.4,73.97741935483872,1.5000000000000002,231.3,441.12000000000006,1,0,0,0,0,0,0,0.0,3,24.499999999999996,10,165.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10,1984,306,11,5,41.0,8.24,1.5399999999999998,16.373333333333335,121.3,74.86666666666666,1.2499999999999998,183.89999999999998,308.13,2,0,0,0,0,0,4,11.1,20,125.89999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
