,year,doy,month,rainy_day,total_rain,tavg,tmin_avg,tmax_avg,tavg_10_30_between_sum,humid_avg,wind_avg,sunhours_sum,radn_sum,rain_more_10,rain_more_30,rain_more_50,rain_more_70,rain_more_90,rain_more_110,tavg_less_5_count,tavg_less_5_sum,tavg_less_10_count,tavg_less_10_sum,tavg_more_15_count,tavg_more_15_sum,tavg_more_20_count,tavg_more_20_sum,tavg_more_25_count,tavg_more_25_sum,tavg_more_30_count,tavg_more_30_sum,tavg_more_35_count,tavg_more_35_sum,tavg_more_40_count,tavg_more_40_sum
0,1984,1,1,3,9.5,-6.977419354838709,-13.274193548387098,-0.17096774193548395,0.0,68.58709677419354,1.6096774193548389,177.60000000000002,226.61499999999998,0,0,0,0,0,0,31,-216.29999999999998,31,-216.29999999999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,1984,32,2,4,7.8,-4.406896551724138,-10.982758620689655,2.127586206896552,0.0,63.42068965517241,1.986206896551724,199.89999999999998,232.192,0,0,0,0,0,0,29,-127.80000000000001,29,-127.80000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,1984,61,3,13,24.0,1.3709677419354838,-5.132258064516129,7.870967741935484,10.6,68.87096774193549,1.5064516129032257,232.7,262.73,0,0,0,0,0,0,28,16.1,30,31.900000000000002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,1984,92,4,11,129.6,10.813333333333333,3.57,18.08,220.2,71.11,1.46,219.80000000000004,250.20200000000003,2,1,1,0,0,0,3,13.7,14,104.2,4,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,1984,122,5,4,47.0,16.92258064516129,9.245161290322581,24.68064516129032,524.6,67.71612903225805,1.0290322580645161,300.5999999999999,309.37200000000007,1,1,0,0,0,0,0,0.0,0,0.0,26,458.6,5,103.30000000000001,0,0.0,0,0.0,0,0.0,0,0.0
5,1984,153,6,12,203.1,21.32,15.993333333333334,27.086666666666666,639.6,77.32666666666667,1.2166666666666666,227.40000000000003,254.78400000000002,6,3,1,0,0,0,0,0.0,0,0.0,30,639.6,24,526.3,0,0.0,0,0.0,0,0.0,0,0.0
6,1984,183,7,13,213.9,24.196774193548393,20.28709677419355,28.90967741935484,750.1000000000001,84.32903225806454,0.8903225806451611,204.0,245.34699999999998,7,2,1,0,0,0,0,0.0,0,0.0,31,750.1000000000001,31,750.1000000000001,11,287.5,0,0.0,0,0.0,0,0.0
7,1984,214,8,15,121.9,25.874193548387098,21.970967741935485,31.296774193548384,802.1,87.58709677419357,0.9903225806451613,235.5,263.54699999999997,3,1,0,0,0,0,0,0.0,0,0.0,31,802.1,31,802.1,21,561.1,0,0.0,0,0.0,0,0.0
8,1984,245,9,11,230.79999999999998,18.209999999999997,12.823333333333332,24.929999999999996,546.3,89.41000000000003,0.9233333333333336,201.80000000000004,238.613,5,3,1,1,1,0,0,0.0,0,0.0,29,533.3,6,130.3,0,0.0,0,0.0,0,0.0,0,0.0
9,1984,275,10,5,22.199999999999996,11.14516129032258,3.712903225806451,19.251612903225805,302.59999999999997,82.33870967741937,1.1741935483870964,244.0,270.829,1,0,0,0,0,0,3,11.3,8,52.9,3,48.900000000000006,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
