,year,doy,month,rainy_day,total_rain,tavg,tmin_avg,tmax_avg,tavg_10_30_between_sum,humid_avg,wind_avg,sunhours_sum,radn_sum,rain_more_10,rain_more_30,rain_more_50,rain_more_70,rain_more_90,rain_more_110,tavg_less_5_count,tavg_less_5_sum,tavg_less_10_count,tavg_less_10_sum,tavg_more_15_count,tavg_more_15_sum,tavg_more_20_count,tavg_more_20_sum,tavg_more_25_count,tavg_more_25_sum,tavg_more_30_count,tavg_more_30_sum,tavg_more_35_count,tavg_more_35_sum,tavg_more_40_count,tavg_more_40_sum
0,1984,1,1,7,15.2,-6.090322580645162,-12.80967741935484,0.6451612903225805,0.0,69.58387096774194,1.1129032258064517,200.80000000000004,248.37199999999999,1,0,0,0,0,0,31,-188.8,31,-188.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,1984,32,2,8,13.299999999999999,-3.817241379310345,-9.50344827586207,2.4379310344827583,0.0,71.47586206896553,1.3517241379310345,204.2,241.49900000000002,0,0,0,0,0,0,29,-110.7,29,-110.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,1984,61,3,14,29.299999999999997,1.8161290322580643,-4.451612903225806,8.541935483870969,11.4,71.19677419354838,1.1935483870967742,242.60000000000002,276.956,0,0,0,0,0,0,28,26.999999999999996,30,44.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,1984,92,4,12,195.3,10.986666666666663,4.006666666666667,18.430000000000003,239.8,70.48333333333333,1.1266666666666665,226.89999999999998,262.058,4,2,1,1,1,0,2,8.5,12,89.79999999999998,3,51.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,1984,122,5,6,52.3,16.29354838709677,9.01290322580645,24.406451612903222,495.2,69.56774193548388,0.9580645161290322,303.0,318.83900000000006,1,0,0,0,0,0,0,0.0,1,9.9,21,372.59999999999997,4,80.8,0,0.0,0,0.0,0,0.0,0,0.0
5,1984,153,6,12,174.8,21.21,15.770000000000001,26.966666666666665,636.3000000000001,77.20666666666668,1.0033333333333334,230.99999999999997,264.124,3,1,1,1,1,1,0,0.0,0,0.0,30,636.3000000000001,24,525.5999999999999,0,0.0,0,0.0,0,0.0,0,0.0
6,1984,183,7,18,413.8,23.9,20.345161290322583,28.770967741935483,740.9,84.50322580645165,1.0096774193548388,216.70000000000002,260.43600000000004,6,4,3,1,1,1,0,0.0,0,0.0,31,740.9,31,740.9,8,208.60000000000002,0,0.0,0,0.0,0,0.0
7,1984,214,8,13,209.2,25.35483870967742,20.838709677419356,31.22258064516129,786.0,79.78709677419359,0.8935483870967742,254.5,283.92600000000004,4,2,1,1,1,0,0,0.0,0,0.0,31,786.0,31,786.0,20,526.0,0,0.0,0,0.0,0,0.0
8,1984,245,9,12,270.0,18.333333333333332,13.223333333333331,25.173333333333336,550.0,80.45000000000002,0.83,212.4,252.37100000000004,6,3,2,1,0,0,0,0.0,0,0.0,29,535.3000000000001,7,151.5,0,0.0,0,0.0,0,0.0,0,0.0
9,1984,275,10,5,39.300000000000004,10.993548387096771,4.283870967741936,19.812903225806448,283.9,73.30967741935486,0.867741935483871,261.99999999999994,290.736,1,1,0,0,0,0,2,9.5,8,56.9,3,49.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10,1984,306,11,8,65.89999999999999,6.010000000000001,-0.1799999999999999,14.453333333333331,68.2,75.26333333333334,0.7733333333333333,200.00000000000003,242.96000000000004,2,1,0,0,0,0,12,28.3,24,112.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
11,1984,336,12,15,25.900000000000002,-0.7516129032258064,-5.6258064516129025,5.322580645161292,0.0,73.48709677419355,0.9806451612903225,149.9,212.238,0,0,0,0,0,0,27,-52.0,31,-23.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
12,1985,1,1,11,21.900000000000002,-5.993548387096774,-12.583870967741936,1.2483870967741935,0.0,70.68064516129033,1.0741935483870966,210.59999999999994,254.31,0,0,0,0,0,0,31,-185.79999999999998,31,-185.79999999999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
13,1985,32,2,12,56.7,-0.3464285714285714,-4.5,5.339285714285714,0.0,76.16785714285716,1.0250000000000001,147.69999999999996,198.271,1,0,0,0,0,0,27,-14.799999999999999,28,-9.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
14,1985,60,3,10,96.10000000000001,3.8322580645161284,-1.493548387096774,10.432258064516127,0.0,68.78709677419356,1.2322580645161292,224.60000000000002,265.288,4,1,0,0,0,0,18,30.4,31,118.79999999999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
15,1985,91,4,10,77.6,10.456666666666669,3.1333333333333337,18.94,241.9,66.95,1.2666666666666666,241.4,272.72700000000003,3,0,0,0,0,0,1,3.8,12,91.8,2,31.900000000000002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
16,1985,121,5,8,162.20000000000002,16.929032258064513,10.509677419354837,23.796774193548384,524.8,70.19032258064517,1.1709677419354838,250.20000000000002,283.34799999999996,4,2,1,1,0,0,0,0.0,0,0.0,26,455.09999999999997,1,20.2,0,0.0,0,0.0,0,0.0,0,0.0
