,year,doy,month,rainy_day,total_rain,tavg,tmin_avg,tmax_avg,tavg_10_30_between_sum,humid_avg,wind_avg,sunhours_sum,radn_sum,rain_more_10,rain_more_30,rain_more_50,rain_more_70,rain_more_90,rain_more_110,tavg_less_5_count,tavg_less_5_sum,tavg_less_10_count,tavg_less_10_sum,tavg_more_15_count,tavg_more_15_sum,tavg_more_20_count,tavg_more_20_sum,tavg_more_25_count,tavg_more_25_sum,tavg_more_30_count,tavg_more_30_sum,tavg_more_35_count,tavg_more_35_sum,tavg_more_40_count,tavg_more_40_sum
0,1984,1,1,3,6.4,-1.0193548387096778,-6.138709677419356,4.506451612903226,0.0,63.99354838709677,1.203225806451613,213.99999999999997,264.47,0,0,0,0,0,0,31,-31.60000000000001,31,-31.60000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,1984,32,2,4,16.1,0.4827586206896552,-4.820689655172413,5.972413793103449,0.0,61.83103448275862,1.6517241379310348,202.6,247.44299999999996,1,0,0,0,0,0,27,2.500000000000001,29,14.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,1984,61,3,7,14.8,5.312903225806451,-0.8677419354838707,11.561290322580644,34.6,62.199999999999996,1.52258064516129,245.7,286.805,0,0,0,0,0,0,14,36.9,29,140.09999999999997,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,1984,92,4,11,139.2,12.753333333333332,7.0133333333333345,18.44666666666667,312.70000000000005,71.76,1.5100000000000002,235.50000000000003,275.63300000000004,4,1,1,0,0,0,0,0.0,8,69.89999999999999,10,159.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,1984,122,5,9,42.400000000000006,17.42258064516129,10.75483870967742,24.193548387096776,540.1,71.44516129032259,0.9838709677419356,287.70000000000005,316.995,1,0,0,0,0,0,0,0.0,0,0.0,27,485.0999999999999,4,83.0,0,0.0,0,0.0,0,0.0,0,0.0
5,1984,153,6,12,262.90000000000003,21.753333333333334,17.546666666666667,26.713333333333328,652.6,80.51333333333335,1.2733333333333334,208.2,255.66000000000003,8,4,1,1,0,0,0,0.0,0,0.0,30,652.6,27,596.8,1,25.2,0,0.0,0,0.0,0,0.0
6,1984,183,7,13,196.7,25.44516129032258,22.106451612903225,29.56451612903226,788.8,84.28709677419357,1.2967741935483872,232.7,278.70400000000006,7,2,1,0,0,0,0,0.0,0,0.0,31,788.8,31,788.8,20,530.5999999999999,0,0.0,0,0.0,0,0.0
7,1984,214,8,11,326.3,27.106451612903232,23.093548387096774,31.796774193548387,840.3000000000002,81.4451612903226,1.3903225806451613,266.0,301.155,7,2,2,2,2,1,0,0.0,0,0.0,31,840.3000000000002,31,840.3000000000002,30,816.1000000000001,0,0.0,0,0.0,0,0.0
8,1984,245,9,12,193.0,21.15666666666667,16.15666666666667,26.66333333333333,634.7,79.92000000000003,0.95,211.1,258.681,6,2,1,0,0,0,0,0.0,0,0.0,30,634.7,21,461.4,2,54.8,0,0.0,0,0.0,0,0.0
9,1984,275,10,4,33.8,14.929032258064517,8.638709677419355,21.622580645161293,453.2,71.87741935483872,0.9548387096774195,254.3,293.77799999999996,2,0,0,0,0,0,0,0.0,1,9.6,18,298.40000000000003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
