,year,doy,month,rainy_day,total_rain,tavg,tmin_avg,tmax_avg,tavg_10_30_between_sum,humid_avg,wind_avg,sunhours_sum,radn_sum,rain_more_10,rain_more_30,rain_more_50,rain_more_70,rain_more_90,rain_more_110,tavg_less_5_count,tavg_less_5_sum,tavg_less_10_count,tavg_less_10_sum,tavg_more_15_count,tavg_more_15_sum,tavg_more_20_count,tavg_more_20_sum,tavg_more_25_count,tavg_more_25_sum,tavg_more_30_count,tavg_more_30_sum,tavg_more_35_count,tavg_more_35_sum,tavg_more_40_count,tavg_more_40_sum
0,1984,1,1,1,1.4,-4.2225806451612895,-9.558064516129031,1.064516129032258,0.0,46.19032258064516,1.9645161290322581,215.39999999999998,250.915,0,0,0,0,0,0,31,-130.89999999999998,31,-130.89999999999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,1984,32,2,4,8.7,-2.4241379310344837,-7.803448275862069,3.3586206896551727,0.0,44.12413793103448,2.210344827586207,221.29999999999995,245.58999999999997,0,0,0,0,0,0,29,-70.30000000000003,29,-70.30000000000003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,1984,61,3,8,8.5,3.2580645161290325,-2.2741935483870965,9.370967741935484,24.9,48.92580645161291,2.0161290322580645,251.8,274.558,0,0,0,0,0,0,23,40.9,29,76.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,1984,92,4,10,107.50000000000001,11.849999999999998,5.336666666666668,18.496666666666666,276.1,58.63999999999999,1.3933333333333338,230.20000000000002,256.184,3,1,1,0,0,0,1,4.9,11,79.4,9,149.39999999999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,1984,122,5,8,61.199999999999996,18.500000000000004,11.496774193548388,25.532258064516128,573.5000000000001,55.987096774193546,1.1645161290322583,311.49999999999994,315.60800000000006,1,1,0,0,0,0,0,0.0,0,0.0,29,546.1000000000001,8,168.8,0,0.0,0,0.0,0,0.0,0,0.0
5,1984,153,6,9,191.00000000000003,22.28333333333334,17.396666666666665,27.583333333333332,668.5000000000001,65.6,1.1066666666666667,239.99999999999997,262.53499999999997,6,2,1,0,0,0,0,0.0,0,0.0,30,668.5000000000001,28,631.5000000000001,0,0.0,0,0.0,0,0.0,0,0.0
6,1984,183,7,13,195.9,24.9258064516129,21.19032258064517,29.35483870967742,772.6999999999999,71.47741935483872,0.7806451612903226,222.6,256.71,7,2,0,0,0,0,0,0.0,0,0.0,31,772.6999999999999,31,772.6999999999999,17,450.90000000000003,0,0.0,0,0.0,0,0.0
7,1984,214,8,12,134.79999999999998,26.69677419354839,22.867741935483874,31.848387096774193,827.6,70.59677419354838,0.8999999999999998,258.2,277.68199999999996,6,0,0,0,0,0,0,0.0,0,0.0,31,827.6,31,827.6,26,709.9,1,30.0,0,0.0,0,0.0
8,1984,245,9,12,192.8,19.419999999999998,14.626666666666667,25.193333333333335,582.5999999999999,69.24666666666666,0.7566666666666664,198.40000000000003,235.33100000000002,6,2,1,1,0,0,0,0.0,0,0.0,30,582.5999999999999,9,195.9,0,0.0,0,0.0,0,0.0,0,0.0
9,1984,275,10,3,15.1,12.80322580645161,6.3516129032258055,19.81290322580646,358.99999999999994,58.648387096774194,1.3354838709677421,253.20000000000002,275.987,1,0,0,0,0,0,0,0.0,5,37.9,6,99.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10,1984,306,11,5,76.4,7.369999999999999,1.5033333333333334,14.190000000000001,83.2,63.986666666666665,0.9766666666666667,189.20000000000002,228.164,3,1,0,0,0,0,6,18.2,23,137.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
11,1984,336,12,8,16.3,0.20645161290322586,-4.2548387096774185,5.132258064516129,0.0,60.00322580645161,1.596774193548387,159.6,212.61100000000002,0,0,0,0,0,0,26,-27.6,31,6.400000000000002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
12,1985,1,1,5,12.5,-4.603225806451612,-10.106451612903227,0.8935483870967744,0.0,51.522580645161284,1.683870967741935,217.79999999999998,251.40599999999998,0,0,0,0,0,0,31,-142.7,31,-142.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
13,1985,32,2,10,16.599999999999998,0.5392857142857143,-3.5785714285714283,5.182142857142857,0.0,60.035714285714285,1.8964285714285716,152.79999999999998,195.86700000000002,0,0,0,0,0,0,28,15.1,28,15.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
14,1985,60,3,11,60.9,5.354838709677418,0.3645161290322581,10.880645161290323,10.5,53.26451612903225,1.6225806451612903,235.99999999999997,265.14,2,0,0,0,0,0,15,47.199999999999996,30,155.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
15,1985,91,4,7,38.7,12.393333333333333,5.196666666666666,19.380000000000003,301.59999999999997,52.39666666666666,1.4633333333333334,254.60000000000002,273.44200000000006,2,0,0,0,0,0,0,0.0,8,70.2,7,114.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
16,1985,121,5,7,155.79999999999998,17.99032258064516,11.722580645161292,24.3483870967742,557.6999999999999,58.461290322580645,1.0935483870967744,278.1,294.26399999999995,4,3,1,0,0,0,0,0.0,0,0.0,30,544.8,4,82.7,0,0.0,0,0.0,0,0.0,0,0.0
17,1985,152,6,12,66.4,21.37666666666667,16.426666666666666,26.766666666666662,641.3000000000001,65.39333333333333,0.8933333333333333,253.4,270.548,2,0,0,0,0,0,0,0.0,0,0.0,30,641.3000000000001,24,529.0999999999999,0,0.0,0,0.0,0,0.0,0,0.0
18,1985,182,7,10,291.4,25.277419354838713,21.54516129032258,30.261290322580646,783.6000000000001,73.3225806451613,0.6935483870967744,222.19999999999996,256.87100000000004,6,4,2,1,1,0,0,0.0,0,0.0,31,783.6000000000001,31,783.6000000000001,18,485.1,0,0.0,0,0.0,0,0.0
19,1985,213,8,11,219.1,26.551612903225806,22.719354838709677,31.37419354838709,823.1,72.36129032258066,0.9129032258064517,239.49999999999997,267.05400000000003,6,3,1,0,0,0,0,0.0,0,0.0,31,823.1,31,823.1,28,753.0,0,0.0,0,0.0,0,0.0
