,year,doy,month,rainy_day,total_rain,tavg,tmin_avg,tmax_avg,tavg_10_30_between_sum,humid_avg,wind_avg,sunhours_sum,radn_sum,rain_more_10,rain_more_30,rain_more_50,rain_more_70,rain_more_90,rain_more_110,tavg_less_5_count,tavg_less_5_sum,tavg_less_10_count,tavg_less_10_sum,tavg_more_15_count,tavg_more_15_sum,tavg_more_20_count,tavg_more_20_sum,tavg_more_25_count,tavg_more_25_sum,tavg_more_30_count,tavg_more_30_sum,tavg_more_35_count,tavg_more_35_sum,tavg_more_40_count,tavg_more_40_sum
0,1984,1,1,1,0.1,-3.4096774193548383,-10.103225806451613,4.296774193548388,0.0,61.070967741935476,1.0903225806451615,215.79999999999995,258.848,0,0,0,0,0,0,31,-105.69999999999999,31,-105.69999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,1984,32,2,2,6.0,-1.2758620689655173,-7.820689655172414,5.879310344827586,0.0,59.272413793103446,1.2448275862068963,209.2,245.108,0,0,0,0,0,0,29,-37.0,29,-37.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,1984,61,3,5,11.6,4.199999999999999,-2.1451612903225805,11.229032258064517,23.6,59.70322580645161,1.574193548387097,241.7,276.33399999999995,0,0,0,0,0,0,19,41.2,29,106.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,1984,92,4,10,129.7,12.346666666666668,6.163333333333332,18.863333333333333,289.5,65.71333333333332,1.5566666666666664,204.89999999999998,246.73199999999994,3,1,1,1,0,0,0,0.0,10,80.89999999999999,10,163.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,1984,122,5,5,83.9,17.954838709677425,10.632258064516128,25.454838709677425,556.6000000000001,62.938709677419354,1.1419354838709679,287.00000000000006,308.459,2,1,1,0,0,0,0,0.0,0,0.0,29,528.5,6,125.39999999999999,0,0.0,0,0.0,0,0.0,0,0.0
5,1984,153,6,12,148.49999999999997,22.293333333333337,17.4,27.363333333333337,668.8000000000001,73.99333333333334,1.02,200.39999999999998,243.33099999999996,4,1,1,0,0,0,0,0.0,0,0.0,30,668.8000000000001,29,652.1,0,0.0,0,0.0,0,0.0,0,0.0
6,1984,183,7,12,446.2,25.216129032258063,21.63225806451613,29.316129032258065,781.6999999999999,78.78709677419357,0.8967741935483873,208.5,254.26000000000002,6,5,3,3,3,2,0,0.0,0,0.0,31,781.6999999999999,31,781.6999999999999,18,479.70000000000005,0,0.0,0,0.0,0,0.0
7,1984,214,8,12,228.70000000000005,27.06129032258065,23.400000000000002,31.787096774193554,838.9000000000001,75.33548387096776,1.025806451612903,233.10000000000002,269.299,6,3,2,0,0,0,0,0.0,0,0.0,31,838.9000000000001,31,838.9000000000001,25,693.8,1,30.0,0,0.0,0,0.0
8,1984,245,9,12,280.1,20.30666666666667,16.173333333333332,25.96,609.2,80.68333333333334,0.6766666666666664,186.7,235.01099999999997,7,3,2,2,0,0,0,0.0,0,0.0,30,609.2,17,367.6,2,52.9,0,0.0,0,0.0,0,0.0
9,1984,275,10,3,22.8,12.770967741935483,6.780645161290321,20.903225806451616,366.9,74.52580645161292,0.8096774193548386,246.6,280.68800000000005,1,0,0,0,0,0,0,0.0,5,39.0,7,115.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
