,year,doy,month,rainy_day,total_rain,tavg,tmin_avg,tmax_avg,tavg_10_30_between_sum,humid_avg,wind_avg,sunhours_sum,radn_sum,rain_more_10,rain_more_30,rain_more_50,rain_more_70,rain_more_90,rain_more_110,tavg_less_5_count,tavg_less_5_sum,tavg_less_10_count,tavg_less_10_sum,tavg_more_15_count,tavg_more_15_sum,tavg_more_20_count,tavg_more_20_sum,tavg_more_25_count,tavg_more_25_sum,tavg_more_30_count,tavg_more_30_sum,tavg_more_35_count,tavg_more_35_sum,tavg_more_40_count,tavg_more_40_sum
0,1984,1,1,0,0.0,-3.12258064516129,-9.880645161290321,4.33225806451613,0.0,46.13548387096774,1.6774193548387097,214.7,258.48600000000005,0,0,0,0,0,0,31,-96.79999999999998,31,-96.79999999999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,1984,32,2,2,4.3,-1.1275862068965519,-8.06896551724138,6.193103448275862,0.0,42.062068965517234,1.8965517241379313,204.8,242.343,0,0,0,0,0,0,28,-37.9,29,-32.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,1984,61,3,5,8.0,4.403225806451613,-2.712903225806452,11.606451612903225,12.0,47.338709677419345,1.9225806451612903,239.29999999999998,275.099,0,0,0,0,0,0,18,39.2,30,124.49999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,1984,92,4,7,135.5,12.370000000000003,5.9799999999999995,19.013333333333332,297.6000000000001,62.25666666666667,1.7499999999999998,211.2,251.833,2,1,1,1,0,0,0,0.0,9,73.50000000000001,8,133.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,1984,122,5,4,114.2,17.45483870967742,10.625806451612902,25.03548387096774,541.1,64.1,1.3838709677419352,280.4,304.523,2,2,1,1,0,0,0,0.0,0,0.0,25,456.09999999999997,6,124.5,0,0.0,0,0.0,0,0.0,0,0.0
5,1984,153,6,10,205.6,22.356666666666666,17.686666666666664,27.87666666666667,670.6999999999999,73.1266666666667,1.2933333333333337,187.90000000000003,235.107,6,3,2,0,0,0,0,0.0,0,0.0,30,670.6999999999999,29,653.8000000000001,0,0.0,0,0.0,0,0.0,0,0.0
6,1984,183,7,12,448.49999999999994,25.467741935483872,21.79354838709677,29.94838709677419,789.5,76.86774193548388,1.3354838709677421,208.70000000000002,255.34899999999993,8,3,3,3,2,1,0,0.0,0,0.0,31,789.5,31,789.5,21,560.0999999999999,0,0.0,0,0.0,0,0.0
7,1984,214,8,13,195.0,27.11290322580645,23.12903225806451,32.07096774193548,840.4999999999999,74.39032258064518,0.9806451612903225,227.9,266.246,6,2,1,0,0,0,0,0.0,0,0.0,31,840.4999999999999,31,840.4999999999999,29,793.6999999999999,0,0.0,0,0.0,0,0.0
8,1984,245,9,9,230.90000000000003,20.079999999999995,15.616666666666667,26.366666666666667,602.3999999999999,75.18666666666668,0.9333333333333333,163.39999999999998,219.149,5,1,1,1,1,1,0,0.0,0,0.0,30,602.3999999999999,13,284.3,2,53.4,0,0.0,0,0.0,0,0.0
9,1984,275,10,2,16.4,13.264516129032257,6.351612903225806,21.361290322580643,371.4,65.32258064516128,1.2193548387096773,246.0,280.76700000000005,1,0,0,0,0,0,0,0.0,5,39.8,7,119.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
