,year,doy,month,rainy_day,total_rain,tavg,tmin_avg,tmax_avg,tavg_10_30_between_sum,humid_avg,wind_avg,sunhours_sum,radn_sum,rain_more_10,rain_more_30,rain_more_50,rain_more_70,rain_more_90,rain_more_110,tavg_less_5_count,tavg_less_5_sum,tavg_less_10_count,tavg_less_10_sum,tavg_more_15_count,tavg_more_15_sum,tavg_more_20_count,tavg_more_20_sum,tavg_more_25_count,tavg_more_25_sum,tavg_more_30_count,tavg_more_30_sum,tavg_more_35_count,tavg_more_35_sum,tavg_more_40_count,tavg_more_40_sum
0,1998,1,1,8,7.9,-3.506451612903226,-8.206451612903226,2.167741935483871,0.0,68.22258064516129,0.9935483870967742,160.6,205.972,0,0,0,0,0,0,31,-108.70000000000002,31,-108.70000000000002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,1998,32,2,8,28.8,1.0857142857142856,-4.439285714285715,7.442857142857143,0.0,59.25357142857144,1.4821428571428572,144.4,182.42700000000002,1,0,0,0,0,0,23,-1.7000000000000028,28,30.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,1998,60,3,4,44.50000000000001,5.629032258064517,-0.5677419354838709,12.648387096774192,34.1,56.361290322580636,2.0354838709677416,207.39999999999998,234.62399999999997,1,1,0,0,0,0,12,30.2,28,140.40000000000003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,1998,91,4,9,100.8,14.443333333333335,8.946666666666667,20.870000000000005,408.5,69.02333333333333,1.62,144.89999999999998,189.58599999999998,3,1,0,0,0,0,0,0.0,4,24.800000000000004,15,257.6,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0
4,1998,121,5,10,132.7,17.63870967741935,11.574193548387095,24.1,546.7999999999998,67.88064516129033,1.570967741935484,189.9,225.22399999999993,3,1,1,1,1,0,0,0.0,0,0.0,29,519.8,4,87.3,0,0.0,0,0.0,0,0.0,0,0.0
5,1998,152,6,12,196.0,20.936666666666667,16.253333333333334,26.06,628.1,74.39666666666666,1.5666666666666667,154.60000000000002,196.74800000000002,4,3,1,1,0,0,0,0.0,0,0.0,28,599.0,20,457.49999999999994,1,25.5,0,0.0,0,0.0,0,0.0
6,1998,182,7,21,344.69999999999993,23.919354838709676,20.925806451612896,27.993548387096777,741.5,81.21290322580647,1.9870967741935484,134.9,189.308,10,5,2,1,0,0,0,0.0,0,0.0,31,741.5,31,741.5,6,153.9,0,0.0,0,0.0,0,0.0
7,1998,213,8,20,997.2000000000002,24.112903225806452,21.019354838709678,28.625806451612902,747.5,85.38064516129032,1.6354838709677415,104.8,169.55300000000003,13,9,7,5,4,4,0,0.0,0,0.0,31,747.5,31,747.5,10,257.0,0,0.0,0,0.0,0,0.0
8,1998,244,9,11,139.1,21.19333333333333,16.343333333333334,27.279999999999994,635.8,79.34666666666666,1.216666666666667,189.7,218.64799999999997,3,1,1,0,0,0,0,0.0,0,0.0,30,635.8,20,450.09999999999997,1,25.0,0,0.0,0,0.0,0,0.0
9,1998,274,10,5,48.400000000000006,15.009677419354837,9.600000000000003,21.764516129032256,438.09999999999997,76.49032258064516,1.2741935483870965,188.6,222.145,2,0,0,0,0,0,0,0.0,3,27.2,14,257.2,1,20.2,0,0.0,0,0.0,0,0.0,0,0.0
