구분,행정구역코드,1단계,2단계,격자 X,격자 Y,경도(초/100),위도(초/100)
kor,1111000000,서울특별시,종로구,60,127,126.981641666666,37.5703777777777
kor,1114000000,서울특별시,중구,60,127,126.999641666666,37.5610027777777
kor,1117000000,서울특별시,용산구,60,126,126.967522222222,37.5360944444444
kor,1120000000,서울특별시,성동구,61,127,127.039,37.5606111111111
kor,1121500000,서울특별시,광진구,62,126,127.084533333333,37.5357388888888
kor,1123000000,서울특별시,동대문구,61,127,127.042141666666,37.571625
kor,1126000000,서울특별시,중랑구,62,128,127.094777777777,37.6038055555555
kor,1129000000,서울특별시,성북구,61,127,127.020333333333,37.5863833333333
kor,1130500000,서울특별시,강북구,61,128,127.027719444444,37.6369555555555
kor,1132000000,서울특별시,도봉구,61,129,127.049522222222,37.6658333333333
kor,1135000000,서울특별시,노원구,61,129,127.058388888888,37.6514611111111
kor,1138000000,서울특별시,은평구,59,127,126.931241666666,37.5999694444444
kor,1141000000,서울특별시,서대문구,59,127,126.938897222222,37.5763666666666
kor,1144000000,서울특별시,마포구,59,127,126.910530555555,37.5607055555555
kor,1147000000,서울특별시,양천구,58,126,126.868708333333,37.5142305555555
kor,1150000000,서울특별시,강서구,58,126,126.851675,37.5481555555555
kor,1153000000,서울특별시,구로구,58,125,126.889597222222,37.49265
kor,1154500000,서울특별시,금천구,59,124,126.904197222222,37.4491083333333
kor,1156000000,서울특별시,영등포구,58,126,126.898341666666,37.5236111111111
kor,1159000000,서울특별시,동작구,59,125,126.941575,37.5096555555555
kor,1162000000,서울특별시,관악구,59,125,126.953844444444,37.4753861111111
kor,1165000000,서울특별시,서초구,61,125,127.034811111111,37.4807861111111
kor,1168000000,서울특별시,강남구,61,126,127.049555555555,37.514575
kor,1171000000,서울특별시,송파구,62,126,127.107930555555,37.5117555555555
kor,1174000000,서울특별시,강동구,62,126,127.125863888888,37.5273666666666
kor,2611000000,부산광역시,중구,97,74,129.034508333333,35.1032166666666
kor,2614000000,부산광역시,서구,97,74,129.026377777777,35.0948361111111
kor,2617000000,부산광역시,동구,98,75,129.059175,35.1358944444444
kor,2620000000,부산광역시,영도구,98,74,129.070186111111,35.0881166666666
kor,2623000000,부산광역시,부산진구,97,75,129.055319444444,35.1599527777777
kor,2626000000,부산광역시,동래구,98,76,129.085855555555,35.2018722222222
kor,2629000000,부산광역시,남구,98,75,129.0865,35.1334083333333
kor,2632000000,부산광역시,북구,96,76,128.992474999999,35.1941805555555
kor,2635000000,부산광역시,해운대구,99,75,129.165808333333,35.1600194444444
kor,2638000000,부산광역시,사하구,96,74,128.977041666666,35.1014277777777
kor,2641000000,부산광역시,금정구,98,77,129.094319444444,35.2400777777777
kor,2644000000,부산광역시,강서구,96,76,128.982908333333,35.2091638888888
kor,2647000000,부산광역시,연제구,98,76,129.082075,35.1731861111111
kor,2650000000,부산광역시,수영구,99,75,129.115375,35.1424666666666
kor,2653000000,부산광역시,사상구,96,75,128.993333333333,35.1494666666666
kor,2671000000,부산광역시,기장군,100,77,129.224475,35.24135
kor,2711000000,대구광역시,중구,89,90,128.608397222222,35.8662861111111
kor,2714000000,대구광역시,동구,90,91,128.637711111111,35.8836166666666
kor,2717000000,대구광역시,서구,88,90,128.561411111111,35.8687944444444
kor,2720000000,대구광역시,남구,89,90,128.5998,35.8429777777777
kor,2723000000,대구광역시,북구,89,91,128.585022222222,35.8827
kor,2726000000,대구광역시,수성구,89,90,128.632866666666,35.8552083333333
kor,2729000000,대구광역시,달서구,88,90,128.535063888888,35.8269277777777
kor,2771000000,대구광역시,달성군,86,88,128.433274999999,35.7716805555555
kor,2772000000,대구광역시,군위군,88,99,128.575077777777,36.2399972222222
