"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","","99","OTHER COUNTIES","","","","00000000","","WHEAT","WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","TOTAL","NOT SPECIFIED","147,600","0.2"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","","99","OTHER COUNTIES","","","","00000000","","WHEAT","WHEAT, WINTER - ACRES PLANTED","TOTAL","NOT SPECIFIED","2,200","5.0"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","CENTRAL","20","BENTON","005","","","00000000","","WHEAT","WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","TOTAL","NOT SPECIFIED","7,300","0.2"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","CENTRAL","20","BENTON","005","","","00000000","","WHEAT","WHEAT, WINTER - ACRES PLANTED","TOTAL","NOT SPECIFIED","103,000","0.8"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","CENTRAL","20","KITTITAS","037","","","00000000","","WHEAT","WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","TOTAL","NOT SPECIFIED","900","2.0"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","CENTRAL","20","KLICKITAT","039","","","00000000","","WHEAT","WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","TOTAL","NOT SPECIFIED","22,800","0.2"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","CENTRAL","20","KLICKITAT","039","","","00000000","","WHEAT","WHEAT, WINTER - ACRES PLANTED","TOTAL","NOT SPECIFIED","21,600","1.0"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","CENTRAL","20","OKANOGAN","047","","","00000000","","WHEAT","WHEAT, WINTER - ACRES PLANTED","TOTAL","NOT SPECIFIED","7,000","1.1"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","CENTRAL","20","YAKIMA","077","","","00000000","","WHEAT","WHEAT, WINTER - ACRES PLANTED","TOTAL","NOT SPECIFIED","10,600","1.0"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","EAST CENTRAL","50","ADAMS","001","","","00000000","","WHEAT","WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","TOTAL","NOT SPECIFIED","18,400","0.2"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","EAST CENTRAL","50","ADAMS","001","","","00000000","","WHEAT","WHEAT, WINTER - ACRES PLANTED","TOTAL","NOT SPECIFIED","276,000","0.9"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","EAST CENTRAL","50","DOUGLAS","017","","","00000000","","WHEAT","WHEAT, WINTER - ACRES PLANTED","TOTAL","NOT SPECIFIED","155,500","1.0"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","EAST CENTRAL","50","FRANKLIN","021","","","00000000","","WHEAT","WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","TOTAL","NOT SPECIFIED","3,400","0.5"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","EAST CENTRAL","50","FRANKLIN","021","","","00000000","","WHEAT","WHEAT, WINTER - ACRES PLANTED","TOTAL","NOT SPECIFIED","68,000","1.0"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","EAST CENTRAL","50","GRANT","025","","","00000000","","WHEAT","WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","TOTAL","NOT SPECIFIED","8,400","0.2"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","EAST CENTRAL","50","GRANT","025","","","00000000","","WHEAT","WHEAT, WINTER - ACRES PLANTED","TOTAL","NOT SPECIFIED","115,500","1.0"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","EAST CENTRAL","50","LINCOLN","043","","","00000000","","WHEAT","WHEAT, WINTER - ACRES PLANTED","TOTAL","NOT SPECIFIED","259,000","1.0"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","NORTHEAST","30","SPOKANE","063","","","00000000","","WHEAT","WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","TOTAL","NOT SPECIFIED","50,700","0.2"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","NORTHEAST","30","SPOKANE","063","","","00000000","","WHEAT","WHEAT, WINTER - ACRES PLANTED","TOTAL","NOT SPECIFIED","92,000","1.0"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","NORTHEAST","30","STEVENS","065","","","00000000","","WHEAT","WHEAT, WINTER - ACRES PLANTED","TOTAL","NOT SPECIFIED","2,000","1.8"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","SOUTHEAST","90","ASOTIN","003","","","00000000","","WHEAT","WHEAT, WINTER - ACRES PLANTED","TOTAL","NOT SPECIFIED","22,100","1.0"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","SOUTHEAST","90","COLUMBIA","013","","","00000000","","WHEAT","WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","TOTAL","NOT SPECIFIED","32,500","0.2"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","SOUTHEAST","90","COLUMBIA","013","","","00000000","","WHEAT","WHEAT, WINTER - ACRES PLANTED","TOTAL","NOT SPECIFIED","73,500","1.1"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","SOUTHEAST","90","GARFIELD","023","","","00000000","","WHEAT","WHEAT, WINTER - ACRES PLANTED","TOTAL","NOT SPECIFIED","61,000","1.2"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","SOUTHEAST","90","WALLA WALLA","071","","","00000000","","WHEAT","WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","TOTAL","NOT SPECIFIED","29,000","0.2"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","SOUTHEAST","90","WALLA WALLA","071","","","00000000","","WHEAT","WHEAT, WINTER - ACRES PLANTED","TOTAL","NOT SPECIFIED","165,000","1.0"
"SURVEY","2023","YEAR","","COUNTY","WASHINGTON","53","SOUTHEAST","90","WHITMAN","075","","","00000000","","WHEAT","WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","TOTAL","NOT SPECIFIED","179,000","0.3"
