GEOID,STATE,COUNTY,TRACT,LOWMOD_PCT
10001040100,10,1,40100,39.15
10001040201,10,1,40201,35.36
10001040203,10,1,40203,32.42
10001040204,10,1,40204,22.91
10001040205,10,1,40205,34.73
10001040206,10,1,40206,26.52
10001040501,10,1,40501,54.33
10001040502,10,1,40502,34.97
10001040700,10,1,40700,40.13
10001040900,10,1,40900,58.41
10001041000,10,1,41000,48.5
10001041101,10,1,41101,48.62
10001041200,10,1,41200,35.04
10001041300,10,1,41300,61.12
10001041400,10,1,41400,47.12
10001041500,10,1,41500,50.39
10001041600,10,1,41600,50.58
10001041701,10,1,41701,27.31
10001041702,10,1,41702,22.12
10001041802,10,1,41802,36.35
10001041803,10,1,41803,55.4
10001041804,10,1,41804,38.62
10001041900,10,1,41900,40.97
10001042000,10,1,42000,28.53
10001042100,10,1,42100,28.62
10001042203,10,1,42203,35.86
10001042204,10,1,42204,15.0
10001042205,10,1,42205,55.28
10001042206,10,1,42206,15.43
10001042207,10,1,42207,40.05
10001042208,10,1,42208,31.56
10001042500,10,1,42500,73.24
10001042801,10,1,42801,40.83
10001042802,10,1,42802,35.86
10001042900,10,1,42900,35.7
10001043000,10,1,43000,39.88
10001043100,10,1,43100,32.25
10001043202,10,1,43202,48.3
10001043300,10,1,43300,55.63
10001043400,10,1,43400,32.9
10001980000,10,1,980000,
10001990000,10,1,990000,
10003000200,10,3,200,33.87
10003000300,10,3,300,73.88
10003000400,10,3,400,58.01
10003000500,10,3,500,54.39
10003000601,10,3,601,67.58
10003000602,10,3,602,64.59
10003000900,10,3,900,83.44
10003001100,10,3,1100,53.9
10003001200,10,3,1200,30.91
10003001300,10,3,1300,14.44
10003001400,10,3,1400,60.32
10003001500,10,3,1500,59.05
10003001600,10,3,1600,76.72
10003001902,10,3,1902,64.16
10003002100,10,3,2100,87.28
10003002200,10,3,2200,68.04
10003002300,10,3,2300,78.38
10003002400,10,3,2400,67.59
10003002500,10,3,2500,62.27
10003002600,10,3,2600,64.89
10003002700,10,3,2700,61.58
10003002800,10,3,2800,71.39
10003002900,10,3,2900,81.52
10003003002,10,3,3002,78.34
10003010104,10,3,10104,61.1
10003010105,10,3,10105,30.32
10003010106,10,3,10106,55.76
10003010200,10,3,10200,31.07
10003010300,10,3,10300,43.37
10003010400,10,3,10400,39.63
10003010502,10,3,10502,35.61
10003010703,10,3,10703,52.66
10003010704,10,3,10704,56.1
10003010800,10,3,10800,31.38
10003010900,10,3,10900,25.66
10003011000,10,3,11000,26.79
10003011100,10,3,11100,25.93
10003011201,10,3,11201,21.23
10003011202,10,3,11202,25.66
10003011203,10,3,11203,44.01
10003011204,10,3,11204,24.65
10003011205,10,3,11205,30.65
10003011206,10,3,11206,20.26
10003011300,10,3,11300,18.32
10003011400,10,3,11400,24.64
10003011500,10,3,11500,24.87
10003011600,10,3,11600,35.04
10003011700,10,3,11700,11.74
10003011800,10,3,11800,24.61
10003011900,10,3,11900,14.17
10003012000,10,3,12000,53.86
10003012100,10,3,12100,44.85
10003012200,10,3,12200,59.41
10003012300,10,3,12300,53.32
10003012400,10,3,12400,48.75
10003012500,10,3,12500,53.99
10003012600,10,3,12600,43.48
10003012700,10,3,12700,52.49
10003012900,10,3,12900,59.66
10003013000,10,3,13000,32.66
10003013100,10,3,13100,36.82
10003013200,10,3,13200,57.38
10003013300,10,3,13300,33.88
10003013400,10,3,13400,30.7
10003013501,10,3,13501,15.26
10003013505,10,3,13505,12.77
10003013506,10,3,13506,13.97
10003013507,10,3,13507,5.85
10003013508,10,3,13508,12.54
10003013604,10,3,13604,41.83
10003013607,10,3,13607,32.88
10003013608,10,3,13608,37.13
10003013610,10,3,13610,32.19
10003013611,10,3,13611,40.43
10003013612,10,3,13612,19.71
10003013613,10,3,13613,17.74
10003013614,10,3,13614,48.69
10003013615,10,3,13615,61.46
10003013700,10,3,13700,50.36
10003013800,10,3,13800,32.66
10003013901,10,3,13901,55.22
10003013903,10,3,13903,30.74
10003013905,10,3,13905,43.45
10003013906,10,3,13906,39.54
10003014000,10,3,14000,54.24
10003014100,10,3,14100,58.6
10003014200,10,3,14200,41.19
10003014301,10,3,14301,23.1
10003014302,10,3,14302,27.35
10003014402,10,3,14402,48.91
10003014403,10,3,14403,58.82
10003014404,10,3,14404,46.42
10003014501,10,3,14501,97.65
10003014502,10,3,14502,81.04
10003014702,10,3,14702,39.14
10003014703,10,3,14703,65.88
10003014705,10,3,14705,41.14
10003014706,10,3,14706,40.88
10003014803,10,3,14803,42.17
10003014808,10,3,14808,46.62
10003014809,10,3,14809,46.25
10003014810,10,3,14810,36.2
10003014811,10,3,14811,15.59
10003014812,10,3,14812,8.55
10003014813,10,3,14813,43.69
10003014814,10,3,14814,19.81
10003014903,10,3,14903,52.09
10003014904,10,3,14904,37.43
10003014906,10,3,14906,67.13
10003014907,10,3,14907,60.0
10003014908,10,3,14908,74.94
10003014909,10,3,14909,56.65
10003015000,10,3,15000,39.81
10003015100,10,3,15100,58.71
10003015200,10,3,15200,54.59
10003015400,10,3,15400,65.54
10003015502,10,3,15502,65.28
10003015600,10,3,15600,54.07
10003015802,10,3,15802,67.09
10003015900,10,3,15900,44.69
10003016000,10,3,16000,64.12
10003016100,10,3,16100,45.98
10003016200,10,3,16200,37.27
10003016301,10,3,16301,38.6
10003016306,10,3,16306,34.06
10003016307,10,3,16307,31.67
10003016308,10,3,16308,36.17
10003016309,10,3,16309,42.37
10003016401,10,3,16401,28.89
10003016404,10,3,16404,40.11
10003016608,10,3,16608,25.94
10003016609,10,3,16609,19.24
10003016610,10,3,16610,44.89
10003016611,10,3,16611,21.02
10003016612,10,3,16612,15.77
10003016613,10,3,16613,46.41
10003016614,10,3,16614,16.63
10003016805,10,3,16805,26.28
10003016806,10,3,16806,27.0
10003016807,10,3,16807,0.0
10003016808,10,3,16808,14.59
10003016901,10,3,16901,29.98
10003016904,10,3,16904,48.16
10003980100,10,3,980100,
10003990100,10,3,990100,
10005050101,10,5,50101,32.73
10005050103,10,5,50103,33.65
10005050104,10,5,50104,60.83
10005050105,10,5,50105,39.0
10005050200,10,5,50200,62.34
10005050302,10,5,50302,46.46
10005050303,10,5,50303,44.72
10005050304,10,5,50304,62.42
10005050401,10,5,50401,41.49
10005050403,10,5,50403,55.78
10005050405,10,5,50405,48.64
10005050406,10,5,50406,53.51
10005050407,10,5,50407,53.14
10005050408,10,5,50408,50.16
10005050501,10,5,50501,36.7
10005050503,10,5,50503,84.32
10005050505,10,5,50505,35.67
10005050506,10,5,50506,41.42
10005050601,10,5,50601,49.48
10005050603,10,5,50603,43.01
10005050604,10,5,50604,44.24
10005050701,10,5,50701,43.34
10005050703,10,5,50703,64.37
10005050706,10,5,50706,30.67
10005050707,10,5,50707,43.92
10005050708,10,5,50708,49.9
10005050709,10,5,50709,23.34
10005050710,10,5,50710,52.98
10005050711,10,5,50711,71.83
10005050801,10,5,50801,51.09
10005050804,10,5,50804,47.17
10005050805,10,5,50805,42.24
10005050806,10,5,50806,38.14
10005050807,10,5,50807,47.1
10005050808,10,5,50808,31.03
10005050903,10,5,50903,22.97
10005050904,10,5,50904,40.72
10005050905,10,5,50905,37.52
10005051008,10,5,51008,22.91
10005051009,10,5,51009,13.12
10005051010,10,5,51010,34.62
10005051011,10,5,51011,26.11
10005051012,10,5,51012,44.19
10005051013,10,5,51013,24.8
10005051014,10,5,51014,30.32
10005051015,10,5,51015,28.69
10005051016,10,5,51016,28.64
10005051017,10,5,51017,43.05
10005051101,10,5,51101,17.03
10005051102,10,5,51102,41.87
10005051103,10,5,51103,24.52
10005051201,10,5,51201,30.42
10005051202,10,5,51202,13.18
10005051203,10,5,51203,17.67
10005051204,10,5,51204,13.72
10005051205,10,5,51205,34.21
10005051302,10,5,51302,29.92
10005051307,10,5,51307,40.06
10005051308,10,5,51308,34.93
10005051309,10,5,51309,37.61
10005051310,10,5,51310,22.19
10005051311,10,5,51311,28.62
10005051312,10,5,51312,30.95
10005051313,10,5,51313,39.89
10005051314,10,5,51314,27.43
10005051400,10,5,51400,44.01
10005051501,10,5,51501,40.91
10005051502,10,5,51502,36.04
10005051701,10,5,51701,37.03
10005051702,10,5,51702,51.51
10005051801,10,5,51801,54.21
10005051802,10,5,51802,58.25
10005051900,10,5,51900,46.19
10005980000,10,5,980000,
10005990000,10,5,990000,
1001020100,1,1,20100,23.71
1001020200,1,1,20200,46.6
1001020300,1,1,20300,31.44
1001020400,1,1,20400,30.51
1001020501,1,1,20501,31.32
1001020502,1,1,20502,15.0
1001020503,1,1,20503,18.84
1001020600,1,1,20600,47.67
1001020700,1,1,20700,54.93
1001020801,1,1,20801,24.92
1001020803,1,1,20803,45.45
1001020804,1,1,20804,27.99
1001020805,1,1,20805,37.53
1001020901,1,1,20901,39.04
1001020902,1,1,20902,37.79
1001021000,1,1,21000,44.21
1001021100,1,1,21100,68.16
1003010100,1,3,10100,53.86
1003010200,1,3,10200,55.08
1003010300,1,3,10300,38.05
1003010400,1,3,10400,59.87
1003010500,1,3,10500,32.41
1003010600,1,3,10600,68.78
1003010704,1,3,10704,32.73
1003010706,1,3,10706,25.95
1003010707,1,3,10707,15.72
1003010708,1,3,10708,19.76
1003010709,1,3,10709,17.13
1003010710,1,3,10710,31.6
1003010711,1,3,10711,43.27
1003010800,1,3,10800,46.61
1003010903,1,3,10903,47.3
1003010904,1,3,10904,37.68
1003010906,1,3,10906,59.67
1003010907,1,3,10907,30.9
1003010908,1,3,10908,46.35
1003011000,1,3,11000,59.9
1003011102,1,3,11102,34.7
1003011103,1,3,11103,27.43
1003011104,1,3,11104,27.65
1003011201,1,3,11201,27.23
1003011202,1,3,11202,32.25
1003011300,1,3,11300,22.77
1003011409,1,3,11409,35.05
1003011410,1,3,11410,41.4
1003011411,1,3,11411,46.6
1003011412,1,3,11412,48.59
1003011413,1,3,11413,38.73
1003011414,1,3,11414,23.62
1003011415,1,3,11415,22.74
1003011416,1,3,11416,53.56
1003011417,1,3,11417,22.07
1003011418,1,3,11418,28.25
1003011419,1,3,11419,30.05
1003011501,1,3,11501,40.62
1003011503,1,3,11503,52.94
1003011504,1,3,11504,37.19
1003011601,1,3,11601,44.62
1003011603,1,3,11603,65.34
1003011604,1,3,11604,47.95
1003990000,1,3,990000,
1005950100,1,5,950100,36.15
1005950200,1,5,950200,50.19
1005950300,1,5,950300,45.57
1005950400,1,5,950400,57.01
1005950500,1,5,950500,33.97
1005950600,1,5,950600,64.16
1005950700,1,5,950700,47.46
1005950800,1,5,950800,52.43
1005950900,1,5,950900,63.03
1007010001,1,7,10001,56.09
1007010005,1,7,10005,46.24
1007010006,1,7,10006,47.66
1007010007,1,7,10007,46.95
1007010008,1,7,10008,34.62
1007010009,1,7,10009,42.81
1007010010,1,7,10010,53.41
1007010011,1,7,10011,57.95
1009050103,1,9,50103,53.08
1009050104,1,9,50104,30.98
1009050105,1,9,50105,44.29
1009050106,1,9,50106,59.27
1009050107,1,9,50107,63.07
1009050200,1,9,50200,57.91
1009050301,1,9,50301,59.03
1009050302,1,9,50302,53.59
1009050400,1,9,50400,43.77
1009050501,1,9,50501,53.05
1009050502,1,9,50502,38.76
1009050601,1,9,50601,43.27
1009050603,1,9,50603,25.34
1009050604,1,9,50604,36.53
1009050701,1,9,50701,52.34
1009050702,1,9,50702,50.35
1011952100,1,11,952100,63.41
1011952201,1,11,952201,43.06
1011952202,1,11,952202,68.68
1011952500,1,11,952500,21.7
1013952700,1,13,952700,43.22
1013952800,1,13,952800,31.8
1013952900,1,13,952900,42.53
1013953000,1,13,953000,40.0
1013953100,1,13,953100,57.02
1013953200,1,13,953200,36.39
1013953300,1,13,953300,25.61
1013953400,1,13,953400,42.96
1013953500,1,13,953500,43.79
1015000200,1,15,200,58.74
1015000300,1,15,300,68.09
1015000400,1,15,400,57.62
1015000500,1,15,500,66.49
1015000600,1,15,600,63.5
1015000700,1,15,700,42.7
1015000800,1,15,800,51.1
1015000900,1,15,900,31.24
1015001000,1,15,1000,29.1
1015001101,1,15,1101,16.27
1015001102,1,15,1102,88.24
1015001103,1,15,1103,20.95
1015001201,1,15,1201,49.44
1015001202,1,15,1202,47.07
1015001300,1,15,1300,63.21
1015001400,1,15,1400,49.39
1015001501,1,15,1501,37.69
1015001502,1,15,1502,56.6
1015001600,1,15,1600,59.83
1015001700,1,15,1700,44.29
1015001801,1,15,1801,39.96
1015001802,1,15,1802,26.41
1015002001,1,15,2001,32.39
1015002002,1,15,2002,22.71
1015002101,1,15,2101,72.83
1015002102,1,15,2102,35.54
1015002104,1,15,2104,46.18
1015002105,1,15,2105,55.76
1015002200,1,15,2200,44.01
1015002300,1,15,2300,49.62
1015002400,1,15,2400,38.69
1015002502,1,15,2502,29.04
1015002503,1,15,2503,17.91
1015002504,1,15,2504,45.61
1015002600,1,15,2600,42.26
1015981901,1,15,981901,
1015981902,1,15,981902,
1015981903,1,15,981903,
1017953800,1,17,953800,55.19
1017953900,1,17,953900,51.2
1017954001,1,17,954001,37.14
1017954002,1,17,954002,45.12
1017954200,1,17,954200,36.61
1017954300,1,17,954300,29.75
1017954600,1,17,954600,50.17
1017954700,1,17,954700,35.01
1017954800,1,17,954800,48.43
1019955701,1,19,955701,41.25
1019955702,1,19,955702,46.3
1019955801,1,19,955801,43.52
1019955802,1,19,955802,30.49
1019955900,1,19,955900,36.69
1019956000,1,19,956000,39.8
1019956101,1,19,956101,44.21
1019956102,1,19,956102,36.73
1021060101,1,21,60101,45.3
1021060103,1,21,60103,45.8
1021060104,1,21,60104,33.6
1021060200,1,21,60200,17.82
1021060300,1,21,60300,33.57
1021060401,1,21,60401,36.76
1021060403,1,21,60403,41.24
1021060404,1,21,60404,43.53
1021060500,1,21,60500,34.66
1021060600,1,21,60600,36.47
1021060701,1,21,60701,53.52
1021060702,1,21,60702,25.28
1023956700,1,23,956700,45.56
1023956800,1,23,956800,36.65
1023956900,1,23,956900,40.77
1023957000,1,23,957000,42.51
1025957500,1,25,957500,49.04
1025957601,1,25,957601,34.02
1025957603,1,25,957603,42.92
1025957604,1,25,957604,29.04
1025957700,1,25,957700,53.31
1025957800,1,25,957800,52.82
1025957901,1,25,957901,39.63
1025957902,1,25,957902,46.8
1025958003,1,25,958003,53.05
1027958900,1,27,958900,47.35
1027959000,1,27,959000,62.03
1027959100,1,27,959100,32.28
1027959200,1,27,959200,37.36
1029959500,1,29,959500,41.33
1029959600,1,29,959600,45.29
1029959700,1,29,959700,40.09
1029959800,1,29,959800,28.7
1031010100,1,31,10100,57.11
1031010200,1,31,10200,33.52
1031010300,1,31,10300,27.71
1031010400,1,31,10400,43.7
1031010500,1,31,10500,55.9
1031010600,1,31,10600,57.36
1031010700,1,31,10700,33.41
1031010800,1,31,10800,22.17
1031010900,1,31,10900,55.51
1031011000,1,31,11000,53.86
1031011100,1,31,11100,51.72
1031011203,1,31,11203,27.31
1031011204,1,31,11204,9.38
1031011205,1,31,11205,26.41
1031011206,1,31,11206,45.36
1031011300,1,31,11300,72.63
1033020100,1,33,20100,59.65
1033020200,1,33,20200,44.66
1033020300,1,33,20300,68.91
1033020400,1,33,20400,13.73
1033020500,1,33,20500,40.42
